""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm051697"	5.89213553910171	4.27628988203858	287.817125759308	1.48658912211341e-64	5.19399373375204e-60
"PladumEVm022248"	4.47563137546974	4.68642743818982	280.584550999123	5.60031963753909e-63	9.78347839079892e-59
"PladumEVm016437"	3.57826396218624	3.18213039686846	245.021286283465	3.16145582208167e-55	3.68193683225705e-51
"PladumEVm005722"	3.22479830021333	3.40469682401621	236.32175113775	2.49317807210072e-53	2.17772871652818e-49
"PladumEVm013553"	5.43195896372003	5.04975316666997	227.799952364081	1.79947622224821e-51	1.2574379945826e-47
"PladumEVm017982"	6.42780499073187	5.11473988422588	198.608118638962	4.20316795366204e-45	2.44757475221663e-41
"PladumEVm040283"	3.13192757834859	4.96132909642437	198.049227591721	5.5660140035208e-45	2.77815661812876e-41
"PladumEVm018416"	3.02784349599546	3.66263905188616	197.397943841633	7.72106075187507e-45	3.37207677012204e-41
"PladumEVm026805"	-3.26184151375915	4.2499069659854	196.135899445114	1.45581230255565e-44	5.65162511544352e-41
"PladumEVm028923"	3.72341399077126	4.21334752300027	191.878035758342	1.23710549473272e-43	4.32232288804666e-40
"PladumEVm053942"	-3.88566538449664	4.61449980505082	170.040832253314	7.24850298981685e-39	2.30232223601101e-35
"PladumEVm016416"	2.82581210243747	4.27073625857279	169.5180928029	9.42802402170814e-39	2.74504776078717e-35
"PladumEVm033225"	2.78086044910452	5.60786694936856	165.595538532809	6.77980620196761e-38	1.82215114531189e-34
"PladumEVm041312"	2.76916362599403	5.34958937738362	150.08152191785	1.66395283535804e-34	4.15263200818391e-31
"PladumEVm025421"	2.70542752632225	4.33348435254734	149.463734591977	2.27078461459582e-34	5.28926290995755e-31
"PladumEVm064304"	-2.41755203247397	4.65389987956535	144.510612979496	2.74760510191949e-33	5.99991091599782e-30
"PladumEVm012772"	4.29353011651855	2.81142303103529	141.39329882304	1.31990261091639e-32	2.7127104307534e-29
"PladumEVm060572"	2.78134115801265	3.42591801484747	138.030340022499	7.17718198805726e-32	1.39313089711518e-28
"PladumEVm045566"	3.42562691321891	9.30301197974312	135.302008930279	2.83581204041214e-31	5.21475983578735e-28
"PladumEVm004084"	2.09321866035075	4.92479620045993	133.128965236373	8.4725314000581e-31	1.48010887293315e-27
"PladumEVm044059"	3.55779950787975	4.37834917627479	132.184301788403	1.36354069895913e-30	2.26860707052063e-27
"PladumEVm047370"	-2.57070846909633	6.3300446917035	127.957828846801	1.14653411796183e-29	1.82085252488492e-26
"PladumEVm024667"	4.33986797564136	3.77432289931637	126.075526369427	2.96000893687148e-29	4.49651096718924e-26
"PladumEVm027508"	1.90340579272049	4.83738295586808	124.843388300957	5.5074214139948e-29	8.01765819931518e-26
"PladumEVm011122"	4.0659918528348	2.98066702438653	123.993146192867	8.45350904870757e-29	1.18142861061117e-25
"PladumEVm015436"	2.37155219588511	4.72630121811875	123.329819193541	1.1809277364803e-28	1.58693977634173e-25
"PladumEVm005430"	4.58259026454561	2.99193545583951	122.713914934994	1.61077684956548e-28	2.08440490173957e-25
"PladumEVm006492"	2.25445805641991	2.87774977579265	119.665221586213	7.48905473274288e-28	9.34500297526084e-25
"PladumEVm039687"	2.36648692663562	2.28452542352104	119.425705675151	8.45016713093904e-28	1.01807030823407e-24
"PladumEVm045311"	-3.17642133262856	3.58404685765436	117.666807406432	2.05104377205408e-27	2.38871394505992e-24
"PladumEVm030309"	-2.29118771614669	3.94962461282064	113.301844101024	1.85304840972962e-26	2.08850510927559e-23
"PladumEVm070357"	2.3501118175639	4.74353589454455	110.657909483653	7.0315227849204e-26	7.67732420569793e-23
"PladumEVm016424"	3.12309961646414	2.30347290578142	110.412860164754	7.95672286772003e-26	8.42424061440212e-23
"PladumEVm037147"	1.87149833159799	3.94983896819168	110.203431057638	8.84333953175283e-26	9.08757176176213e-23
"PladumEVm020024"	2.51523277259515	3.57657308607016	108.63277214694	1.95318391331341e-25	1.94977979277877e-22
