""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm053942"	-10.2878943186512	4.61449980505082	510.873971283012	4.09320838083542e-113	1.43012607618009e-108
"PladumEVm061919"	-6.51752434272693	6.18850165102868	485.369002395494	1.45035434411533e-107	2.53369652145228e-103
"PladumEVm022248"	8.07157756391955	4.68642743818982	469.481107794957	4.15607702135715e-104	4.84030583497325e-100
"PladumEVm026805"	-7.26074741724578	4.2499069659854	464.244376249957	5.73126914716007e-103	5.00612031831564e-99
"PladumEVm051697"	9.63811423986516	4.27628988203858	419.531303693226	3.08648160907688e-93	2.15677161879074e-89
"PladumEVm013553"	9.26379657316894	5.04975316666997	355.700209621378	2.43145582637337e-79	1.41587725196098e-75
"PladumEVm047370"	-6.0985832056747	6.3300446917035	346.561849719952	2.37605211280763e-77	1.1436853221858e-73
"PladumEVm017982"	11.7523593053305	5.11473988422588	346.367929438427	2.61870190259778e-77	1.1436853221858e-73
"PladumEVm005722"	5.29160071955531	3.40469682401621	325.422620810368	9.54481433966013e-73	3.70540298014873e-69
"PladumEVm071382"	-5.23459027420187	5.10792351364709	324.930137470788	1.22190027708235e-72	4.26919737809804e-69
"PladumEVm045311"	-7.69942220821356	3.58404685765436	318.072014429206	3.80944885218369e-71	1.20998484951315e-67
"PladumEVm098962"	-5.27300429160922	3.35757420152536	312.845229803396	5.24106456408374e-70	1.52597962337102e-66
"PladumEVm097343"	-7.33791329484128	3.39129920427296	307.118317856257	9.26806494393048e-69	2.49089939289221e-65
"PladumEVm016437"	5.48342157149923	3.18213039686846	298.52154397041	6.91639444149327e-67	1.72608503850952e-63
"PladumEVm040283"	5.3615056898329	4.96132909642437	298.078765932784	8.63670282386935e-67	2.01171839975448e-63
"PladumEVm028923"	6.2964088393068	4.21334752300027	289.290507151192	7.09821298189029e-65	1.55002789608915e-61
"PladumEVm015436"	5.02440653716868	4.72630121811875	272.213758486217	3.73626264198011e-61	7.67889884989078e-58
"PladumEVm070140"	-8.80830441343975	4.74582947024805	260.595051012234	1.27294544310386e-58	2.47085782425588e-55
"PladumEVm058575"	-4.18099281331621	3.21074433217159	236.175788247685	2.68275977680993e-53	4.93331283378749e-50
"PladumEVm085757"	-9.9686019604024	2.42268366379949	235.754549549337	3.31464509713182e-53	5.79051925243443e-50
"PladumEVm030309"	-4.61963767052589	3.94962461282064	232.987542853461	1.32992506130698e-52	2.21267865319069e-49
"PladumEVm062880"	-5.83724529213454	5.94777757608854	228.611715496146	1.19703868817538e-51	1.90106066937089e-48
"PladumEVm015580"	9.06895893165675	5.68046181620853	223.377146070551	1.65869602735606e-50	2.51970349999102e-47
"PladumEVm045566"	6.11747903464482	9.30301197974312	222.31597455979	2.82632581633794e-50	4.11454157070963e-47
"PladumEVm018416"	4.4358884509204	3.66263905188616	220.678674305935	6.43203550462649e-50	8.9891555398458e-47
"PladumEVm086471"	-7.46857291173074	4.04674747730067	218.980162277174	1.50951871457409e-49	2.02850286032709e-46
"PladumEVm074405"	-9.65976041686864	1.61870319291848	216.893458733278	4.30547350663463e-49	5.57144217956694e-46
"PladumEVm070357"	4.59464497372875	4.74353589454455	213.041733974339	2.98035379092572e-48	3.7189493250412e-45
"PladumEVm033225"	4.31949889516942	5.60786694936856	209.618590264162	1.66371507051643e-47	2.00443244306116e-44
"PladumEVm025421"	4.39892717400664	4.33348435254734	203.091797953867	4.41730690763249e-46	5.14454286819239e-43
"PladumEVm092092"	-7.99081833269735	3.16696636643791	201.970716953696	7.75867610641315e-46	8.74452853167642e-43
"PladumEVm044059"	6.06654435780479	4.37834917627479	200.29698348785	1.7989690356791e-45	1.96419309804975e-42
