ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0098813	GO:0098813	nuclear chromosome segregation	43/488	165/7982	9.76024479797154e-17	3.00801836456225e-13	2.66343675709403e-13	Cenpf/Bub1/Incenp/Ndc80/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Rmi2/Kntc1/Ncaph2/Cenpx/Ncapd2/Smc2/Kifc5b/Cdc20/Hdac8/Nek2/Ccne1/Dscc1/Prdm9/Cenpk/Cit/Ncapd3/Prc1/Anapc4/Cdc42/Ect2/Aurkb/Lats1/Prc1/Kif22/Trappc12	43
GO:0140014	GO:0140014	mitotic nuclear division	43/488	168/7982	2.00974685130777e-16	3.00801836456225e-13	2.66343675709403e-13	Kif11/Chek1/Bub1/Incenp/Ndc80/Tpx2/Bmp7/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Kntc1/Ncaph2/Ncapd2/Smc2/Kifc5b/Cdc20/Nek2/Dscc1/Cenpk/Cit/Ncapd3/Met/Prc1/Mki67/Anapc4/Cdc42/Bora/Aurkb/Prc1/Kif22/Ccdc61/Kif3b	43
GO:1903047	GO:1903047	mitotic cell cycle process	70/488	400/7982	2.38479257232736e-16	3.00801836456225e-13	2.66343675709403e-13	Ccnb2/Cenpf/Kif11/Chek1/Bub1/Kif4/Incenp/Ccna2/Ndc80/Cenph/Tpx2/Cdk1/Bmp7/Cdt1/Plk1/Cdc25a/Kif23/Prc1/Racgap1/Kif20a/Mis12/Birc5/Cks1b/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Kntc1/Clspn/Ncaph2/Gins3/Rpa2/Ncapd2/Smc2/Kifc5b/Cdc20/Nek2/Ccne1/Dscc1/Calm1/Cenpk/Rad51b/Cit/Ccnf/Ncapd3/Met/Anln/Prc1/Zfp36l1/Mki67/Anapc4/Mastl/Cdc42/Bora/Ect2/Rad51/Aurkb/Mcm4/Lats1/Pola1/Prc1/Kif22/Ccdc61/Adam17/Ckap2/Itgb1/Kif3b	70
GO:0000280	GO:0000280	nuclear division	52/488	242/7982	3.96585830613722e-16	3.29317802733236e-13	2.91593013825495e-13	Ccnb2/Kif11/Chek1/Bub1/Incenp/Ndc80/Tpx2/Bmp7/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Aspm/Mad2l1/Kntc1/Ncaph2/Cenpx/Ncapd2/Smc2/Kifc5b/Cdc20/Nek2/Ccne1/Dscc1/Mnd1/Prdm9/Cenpk/Cit/Ncapd3/Met/Prc1/Mki67/Anapc4/Mastl/Cdc42/Bora/Rad51/Aurkb/Prc1/Kif22/Ccdc61/Psma8/Kif3b	52
GO:0007059	GO:0007059	chromosome segregation	47/488	202/7982	4.35145088178166e-16	3.29317802733236e-13	2.91593013825495e-13	Cenpf/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Rmi2/Kntc1/Ncaph2/Cenpx/Ncapd2/Smc2/Kifc5b/Cdc20/Cenpt/Hdac8/Nek2/Ccne1/Dscc1/Prdm9/Cenpk/Cit/Ncapd3/Prc1/Mki67/Anapc4/Cdc42/Ect2/Aurkb/Lats1/Prc1/Kif22/Trappc12/Ppp1r7	47
GO:0000278	GO:0000278	mitotic cell cycle	77/488	485/7982	1.81702012596178e-15	1.14593402610656e-12	1.01466229139234e-12	Ccnb2/Cenpf/Ascl1/Kif11/Chek1/Bub1/Kif4/Incenp/Ccna2/Ndc80/Cenph/Tpx2/Cdk1/Bmp7/Cdt1/Plk1/Cdc25a/Kif23/Prc1/Racgap1/Kif20a/Mis12/Birc5/Cks1b/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Hes1/Mad2l1/Kntc1/Clspn/Ncaph2/Gins3/Rpa2/Ncapd2/Smc2/Kifc5b/Cdc20/Cenpt/Nek2/Ccne1/Stat5b/Dscc1/Calm1/Cenpk/Rad51b/Dusp3/Cit/Ccnf/Ncapd3/Met/Anln/Prc1/Zfp36l1/Mki67/Anapc4/Mastl/Cdc42/Bora/Ect2/Rad51/Aurkb/Mcm4/Lats1/Pola1/Prc1/Kif22/Ccdc61/Adam17/Ckap2/Itgb1/Tubb4b/Dapk3/Kif3b	77
GO:0000819	GO:0000819	sister chromatid segregation	36/488	129/7982	3.32483974114897e-15	1.67905867131359e-12	1.48671518604405e-12	Bub1/Incenp/Ndc80/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Rmi2/Kntc1/Ncaph2/Ncapd2/Smc2/Kifc5b/Cdc20/Hdac8/Nek2/Dscc1/Cenpk/Cit/Ncapd3/Prc1/Anapc4/Aurkb/Lats1/Prc1/Kif22	36
GO:0000070	GO:0000070	mitotic sister chromatid segregation	33/488	109/7982	3.54980691609639e-15	1.67905867131359e-12	1.48671518604405e-12	Bub1/Incenp/Ndc80/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Mad2l1/Kntc1/Ncaph2/Ncapd2/Smc2/Kifc5b/Cdc20/Nek2/Dscc1/Cenpk/Cit/Ncapd3/Prc1/Anapc4/Aurkb/Prc1/Kif22	33
GO:0048285	GO:0048285	organelle fission	53/488	275/7982	2.52666837072358e-14	1.06232367942423e-11	9.40629874153587e-12	Ccnb2/Kif11/Chek1/Bub1/Incenp/Ndc80/Tpx2/Bmp7/Cdt1/Plk1/Kif23/Prc1/Racgap1/Mis12/Birc5/Cenpc1/Ncapg/Numa1/Kif18a/Trip13/Nusap1/Aspm/Mad2l1/Kntc1/Ncaph2/Cenpx/Ncapd2/Smc2/Kifc5b/Cdc20/Nek2/Ccne1/Dscc1/Mnd1/Prdm9/Cenpk/Cit/Ncapd3/Met/Prc1/Inf2/Mki67/Anapc4/Mastl/Cdc42/Bora/Rad51/Aurkb/Prc1/Kif22/Ccdc61/Psma8/Kif3b	53
GO:0051301	GO:0051301	cell division	57/488	338/7982	9.73723964434436e-13	3.68457148141991e-10	3.26248776715243e-10	Ccnb2/Kif11/Bub1/Cdca3/Incenp/Ccna2/Ndc80/Tpx2/Cdk1/Cdt1/Plk1/Cdc25a/Kif23/Prc1/Notch1/Racgap1/Kif20a/Mis12/Birc5/Cks1b/Haus1/Cenpc1/Kmt5a/Numa1/Nusap1/Aspm/Mad2l1/Kntc1/Cenpx/Ncapd2/Vrk1/Smc2/Cdc20/Cenpt/Nek2/Ccne1/Calm1/Bmi1/Cit/Ccnf/Ncapd3/Anln/Prc1/Anapc4/Mastl/Cdc42/Bora/Ect2/Aurkb/Lats1/Hmcn1/Haus3/Cetn3/Prc1/Ckap2/Klhl9/Kif3b	57
