ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005615	GO:0005615	extracellular space	64/493	428/8052	1.01679313126461e-11	4.21969149474813e-09	3.81029847084422e-09	Col12a1/Chia1/Bmp7/Svep1/Fabp5/Fkrp/Pnliprp1/Cd109/Mmp9/Spint3/Avp/Akr1b3/Nudt1/Mif/Myoc/Wfdc3/Mmp2/Igfals/Pcsk1/Pcsk9/Il6st/Ctrl/Bmp1/Scnn1b/Col22a1/Cela3b/Amy1/Fstl1/Cilp/Fabp3/Klk8/Mmp19/Col24a1/Amy2a5/Met/Col11a1/Klkb1/Col20a1/Cpa2/Pglyrp1/Hpgd/Clec3b/Pappa/Cela2a/Lipg/Cpa1/Ppy/Cubn/Ctsll3/Thbs1/Cpb1/Crisp2/Hspa8/Hgf/Col2a1/Dag1/Car6/Lrrc15/Liph/Glipr1l1/Crispld2/Ache/Bhmt/Serpinc1	64
GO:0030312	GO:0030312	external encapsulating structure	39/493	206/8052	1.48885878985691e-10	2.05958799263539e-08	1.85976747083881e-08	Col12a1/Col26a1/Lama2/Bmp7/Matn3/Mmp10/Svep1/Mmp9/Col6a5/Col6a6/Myoc/Mmp2/Adamts6/Bmp1/Col22a1/Cela3b/Cilp/Mmp19/Col24a1/Col11a1/Col20a1/Mmp20/Col6a4/Mmp24/Clec3b/Cela2a/Thbs1/Gsto1/Mmp1b/Hmcn1/Matn1/Col2a1/Dag1/Lrrc15/Notch2/Crispld2/Itgb1/Ache/Serpinc1	39
GO:0031012	GO:0031012	extracellular matrix	39/493	206/8052	1.48885878985691e-10	2.05958799263539e-08	1.85976747083881e-08	Col12a1/Col26a1/Lama2/Bmp7/Matn3/Mmp10/Svep1/Mmp9/Col6a5/Col6a6/Myoc/Mmp2/Adamts6/Bmp1/Col22a1/Cela3b/Cilp/Mmp19/Col24a1/Col11a1/Col20a1/Mmp20/Col6a4/Mmp24/Clec3b/Cela2a/Thbs1/Gsto1/Mmp1b/Hmcn1/Matn1/Col2a1/Dag1/Lrrc15/Notch2/Crispld2/Itgb1/Ache/Serpinc1	39
GO:0000779	GO:0000779	condensed chromosome, centromeric region	23/493	83/8052	4.42379763334768e-10	4.58969004459821e-08	4.14439988808361e-08	Cenpf/Cbx5/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Mis12/Birc5/Cenpc1/Ncapg/Kif18a/Mad2l1/Kntc1/Cenpx/Ncapd2/Cenpt/Nek2/Cenpk/Ncapd3/Aurkb/Trappc12	23
GO:0098687	GO:0098687	chromosomal region	34/493	184/8052	4.52952804104809e-09	3.3351215569942e-07	3.01154920555468e-07	Cenpf/Cbx5/Chek1/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Mis12/Birc5/Cenpc1/Ncapg/Kif18a/Mad2l1/Kntc1/Cenpx/Rpa2/Ncapd2/Cenpt/Nek2/Sirt6/Dscc1/Cenpk/Ncapd3/Mki67/Rad51/Pold1/Aurkb/Orc4/Wrn/Alyref2/Trappc12/Dapk3	34
GO:0000775	GO:0000775	chromosome, centromeric region	26/493	116/8052	4.8218624920398e-09	3.3351215569942e-07	3.01154920555468e-07	Cenpf/Cbx5/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Mis12/Birc5/Cenpc1/Ncapg/Kif18a/Mad2l1/Kntc1/Cenpx/Ncapd2/Cenpt/Nek2/Dscc1/Cenpk/Ncapd3/Mki67/Aurkb/Trappc12/Dapk3	26
GO:0000776	GO:0000776	kinetochore	21/493	80/8052	7.50385473460712e-09	4.44871387837422e-07	4.01710118123329e-07	Cenpf/Cbx5/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Mis12/Birc5/Cenpc1/Kif18a/Mad2l1/Kntc1/Cenpx/Cenpt/Nek2/Cenpk/Ncapd3/Aurkb/Trappc12	21
GO:0030496	GO:0030496	midbody	23/493	101/8052	2.74777425318243e-08	1.35826724117397e-06	1.22648861853629e-06	Cenpf/Kif4/Incenp/Cdk1/Plk1/Kif23/Prc1/Racgap1/Kif20a/Birc5/Cenpc1/Aspm/Nek2/Anln/Prc1/Cdc42/Ect2/Aurkb/Prc1/Ankrd54/Lap3/Klhl9/Kif3b	23
GO:0000793	GO:0000793	condensed chromosome	28/493	143/8052	2.94563980013632e-08	1.35826724117397e-06	1.22648861853629e-06	Cenpf/Cbx5/Chek1/Bub1/Incenp/Ndc80/Cenph/Cdt1/Plk1/Mis12/Birc5/Cenpc1/Ncapg/Kif18a/Mad2l1/Kntc1/Ncaph2/Cenpx/Ncapd2/Smc2/Cenpt/Nek2/Cenpk/Ncapd3/Mki67/Rad51/Aurkb/Trappc12	28
GO:0051233	GO:0051233	spindle midzone	10/493	21/8052	1.29325476520015e-07	5.36700727558064e-06	4.84630206748689e-06	Incenp/Plk1/Prc1/Racgap1/Numa1/Kif18a/Prc1/Cdc42/Aurkb/Prc1	10
