ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004252	GO:0004252	serine-type endopeptidase activity	16/485	58/7956	2.09191433737775e-07	0.000115987153844218	0.000100296532799524	Mmp9/Mmp2/Pcsk1/Pcsk9/Ctrl/Cela3b/Ctrb1/Cd5l/Prep/Klk8/Klkb1/Cela2a/Prss12/Mmp1b/Hgf/Adam17	16
GO:0017171	GO:0017171	serine hydrolase activity	18/485	75/7956	3.66468100613644e-07	0.000115987153844218	0.000100296532799524	Mmp9/Mmp2/Pcsk1/Pcsk9/Ctrl/Cela3b/Ctrb1/Cd5l/Prep/Klk8/Klkb1/Cela2a/Prss12/Scpep1/Mmp1b/Hgf/Adam17/Ache	18
GO:0008236	GO:0008236	serine-type peptidase activity	17/485	70/7956	6.46971305299046e-07	0.000136510945418099	0.000118043887282633	Mmp9/Mmp2/Pcsk1/Pcsk9/Ctrl/Cela3b/Ctrb1/Cd5l/Prep/Klk8/Klkb1/Cela2a/Prss12/Scpep1/Mmp1b/Hgf/Adam17	17
GO:0030020	GO:0030020	extracellular matrix structural constituent conferring tensile strength	8/485	17/7956	2.68374026950876e-06	0.000418688249365419	0.000362048540234502	Col12a1/Col6a5/Col6a6/Col22a1/Col24a1/Col11a1/Col6a4/Col2a1	8
GO:0004175	GO:0004175	endopeptidase activity	28/485	179/7956	3.30717416560362e-06	0.000418688249365419	0.000362048540234502	Tll1/Mmp10/Mmp9/Mmp2/Adamts6/Pcsk1/Pcsk9/Ctrl/Bmp1/Cela3b/Ctrb1/Cd5l/Mep1b/Prep/Klk8/Mmp19/Klkb1/Mmp20/Mmp24/Pappa/Cela2a/Prss12/Ctsll3/Mmp1b/Hgf/Adam17/Cps1/Psmb7	28
GO:0001968	GO:0001968	fibronectin binding	8/485	19/7956	7.48246293309817e-06	0.000789399839441857	0.000682610653545798	Mmp9/Myoc/Mmp2/Ctsll3/Thbs1/Lrrc15/Itgb1/Itgav	8
GO:0004222	GO:0004222	metalloendopeptidase activity	13/485	53/7956	1.20950272678064e-05	0.00109373603721735	0.000945776568309671	Tll1/Mmp10/Mmp9/Mmp2/Adamts6/Bmp1/Mep1b/Mmp19/Mmp20/Mmp24/Pappa/Mmp1b/Adam17	13
GO:0008237	GO:0008237	metallopeptidase activity	19/485	107/7956	2.077431921737e-05	0.0016437680080744	0.0014214007885569	Tll1/Mmp10/Clca3a1/Mmp9/Mmp2/Adamts6/Bmp1/Mep1b/Mmp19/Mmp20/Pepd/Cpa2/Mmp24/Pappa/Cpa1/Cpb1/Mmp1b/Adam17/Lap3	19
GO:0008017	GO:0008017	microtubule binding	21/485	130/7956	3.42883794540043e-05	0.00228042522485902	0.00197193168192681	Kif11/Kif4/Tpx2/Plk1/Kif23/Prc1/Racgap1/Kif20a/Birc5/Numa1/Kif18a/Nusap1/Kifc5b/Prc1/Cetn3/Prc1/Kif22/Ccdc61/Katnal1/Ogg1/Kif3b	21
GO:0005518	GO:0005518	collagen binding	9/485	29/7956	3.60256749582783e-05	0.00228042522485902	0.00197193168192681	Tll1/Mrc2/Ddr1/Col6a4/Ctsll3/Thbs1/Lrrc15/Itgb1/Ache	9
GO:0038023	GO:0038023	signaling receptor activity	36/485	297/7956	5.24616272101634e-05	0.00276735083533612	0.00239298650432324	Notch1/Trpv1/Il6st/Nr1i2/Mrc1/Npy1r/Ptprt/Mrc2/Npbwr1/Ddr1/Met/Pglyrp3/Oprk1/Glra3/Pglyrp1/Hpgd/Pla2r1/Adora2a/Cubn/Fpr-rs6/Tspo/Npr1/Nlgn1/Galr2/Trpa1/Adgrl1/Ahr/Epha5/Crhr1/Grm5/Notch2/Gria1/Itgb1/Adrb2/Itgb5/Ghsr	36
