ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000278	GO:0000278	mitotic cell cycle	116/778	485/7982	2.32217381440136e-21	9.42802568646953e-18	8.66048613097266e-18	Ascl1/Ccnb2/Hes1/Bub1/Bmp7/Ndc80/Kif11/Cenpf/Cdt1/Kif4/Cenph/Ccna2/Birc5/Mis12/Kif20a/Trip13/Kif23/Tpx2/Prc1/Chek1/Cdk1/Racgap1/Cyp1a1/Cdc25a/Ncapg/Smc2/Incenp/Orc1/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Mcm3/Gins3/Kntc1/Tbcd/Cdc45/Pcna/Apex1/Rpa2/Kif18a/Clspn/Tbce/Numa1/Mad2l1/Rad51/Mcm4/Ncaph2/Cenpt/Dscc1/Cks1b/Rcc1/Calm1/Ncapg2/Ncapd2/Stat5b/Nek2/Ccnf/Nsmce2/Wee1/Kifc5b/Mcm2/Ncapd3/Mcph1/Tipin/Tnks/Dbf4/Mastl/Ncaph/Fbxl7/Iqgap1/Prc1/Anapc4/Aaas/Pola1/Ska3/Fancd2/Spdl1/Prc1/Ccne1/Tubb4b/Mki67/Tuba1c/Bora/Anln/Lig1/Tuba3a/Fbxo43/Rad51b/Pole/E2f8/Brca2/Cit/Ckap2/Hspa1b/Ska2/Cdc16/Ccdc61/Gen1/Cdkn1b/Ect2/Blm/Mcm6/Rbbp8/Lats1/Usp8/Aurkb/Ctdspl/Anapc1/Tuba1a/Kif3b/Kif22/Ska1/Sptbn1/Fgfr3	116
GO:1903047	GO:1903047	mitotic cell cycle process	101/778	400/7982	1.87041639906637e-20	3.79694529010474e-17	3.48783436941693e-17	Ccnb2/Bub1/Bmp7/Ndc80/Kif11/Cenpf/Cdt1/Kif4/Cenph/Ccna2/Birc5/Mis12/Kif20a/Trip13/Kif23/Tpx2/Prc1/Chek1/Cdk1/Racgap1/Cyp1a1/Cdc25a/Ncapg/Smc2/Incenp/Orc1/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Mcm3/Gins3/Kntc1/Cdc45/Pcna/Apex1/Rpa2/Kif18a/Clspn/Tbce/Numa1/Mad2l1/Rad51/Mcm4/Ncaph2/Dscc1/Cks1b/Rcc1/Calm1/Ncapg2/Ncapd2/Nek2/Ccnf/Nsmce2/Kifc5b/Mcm2/Ncapd3/Mcph1/Tipin/Tnks/Dbf4/Mastl/Ncaph/Fbxl7/Prc1/Anapc4/Aaas/Pola1/Fancd2/Spdl1/Prc1/Ccne1/Mki67/Bora/Anln/Lig1/Fbxo43/Rad51b/Pole/Brca2/Cit/Ckap2/Hspa1b/Cdc16/Ccdc61/Gen1/Cdkn1b/Ect2/Blm/Mcm6/Rbbp8/Lats1/Usp8/Aurkb/Ctdspl/Anapc1/Kif3b/Kif22/Sptbn1/Fgfr3	101
GO:0051301	GO:0051301	cell division	85/778	338/7982	3.52467000937919e-17	4.77005341269316e-14	4.38172134850191e-14	Ccnb2/Bub1/Ndc80/Cdca3/Kif11/Cdt1/Ccna2/Birc5/Mis12/Kif20a/Kif23/Tpx2/Prc1/Cdk1/Racgap1/Haus1/Cdc25a/Smc2/Incenp/Vrk1/Cdc20/Cenpc1/Plk1/Nusap1/Cetn3/Kntc1/Kmt5a/Numa1/Mad2l1/Mis18bp1/Aspm/Cenpt/Cks1b/Rcc1/Calm1/Ncapg2/Cenpx/Ncapd2/Nek2/Ccnf/Nsmce2/Wee1/Pin1/Lrp6/Ncapd3/Haus7/Tipin/Lrp6/Tnks/Mastl/Ncaph/Fbxl7/Prc1/Anapc4/Ska3/Spdl1/Timeless/Prc1/Ccne1/Bora/Anln/Lig1/Susd2/Bmi1/Haus3/E2f8/Hmcn1/Brca2/Cit/Ckap2/Ska2/Cdc16/Ect2/Klhl9/Blm/Rbbp8/Mcmbp/Lats1/Haus4/Usp8/Aurkb/Anapc1/Kif3b/Ska1/Sptbn1	85
GO:0140014	GO:0140014	mitotic nuclear division	55/778	168/7982	8.72055115560157e-17	8.59645242649719e-14	7.89661160152439e-14	Bub1/Bmp7/Ndc80/Kif11/Cdt1/Birc5/Mis12/Trip13/Kif23/Tpx2/Prc1/Chek1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Kif18a/Numa1/Mad2l1/Ncaph2/Dscc1/Rcc1/Ncapg2/Ncapd2/Nek2/Nsmce2/Kifc5b/Ncapd3/Tnks/Ncaph/Prc1/Anapc4/Aaas/Spdl1/Prc1/Mki67/Bora/Fbxo43/Cit/Hspa1b/Cdc16/Ccdc61/Gen1/Cdkn1b/Aurkb/Anapc1/Kif3b/Kif22/Fgfr3	55
GO:0007059	GO:0007059	chromosome segregation	61/778	202/7982	1.38576128453499e-16	8.59645242649719e-14	7.89661160152439e-14	Bub1/Ndc80/Cenpf/Cdt1/Cenph/Birc5/Mis12/Trip13/Kif23/Prc1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Fen1/Kif18a/Numa1/Mad2l1/Ncaph2/Cenpt/Dscc1/Rcc1/Ncapg2/Cenpx/Ncapd2/Esco2/Nek2/Nsmce2/Rmi2/Kifc5b/Hdac8/Ncapd3/Tnks/Ncaph/Prc1/Anapc4/Ska3/Fancd2/Spdl1/Prc1/Ccne1/Mki67/Brca2/Cit/Ska2/Cdc16/Gen1/Ect2/Mcmbp/Lats1/Psmc3ip/Aurkb/Anapc1/Kif22/Ska1	61
GO:0000819	GO:0000819	sister chromatid segregation	47/778	129/7982	1.41133975866503e-16	8.59645242649719e-14	7.89661160152439e-14	Bub1/Ndc80/Cdt1/Birc5/Mis12/Trip13/Kif23/Prc1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Fen1/Kif18a/Numa1/Mad2l1/Ncaph2/Dscc1/Ncapg2/Ncapd2/Esco2/Nek2/Nsmce2/Rmi2/Kifc5b/Hdac8/Ncapd3/Tnks/Ncaph/Prc1/Anapc4/Spdl1/Prc1/Cit/Cdc16/Gen1/Mcmbp/Lats1/Aurkb/Anapc1/Kif22	47
GO:0000280	GO:0000280	nuclear division	68/778	242/7982	1.48214697008572e-16	8.59645242649719e-14	7.89661160152439e-14	Ccnb2/Bub1/Bmp7/Ndc80/Kif11/Cdt1/Birc5/Mis12/Trip13/Kif23/Tpx2/Prc1/Chek1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Kif18a/Numa1/Mad2l1/Rad51/Ncaph2/Aspm/Dscc1/Rcc1/Ncapg2/Cenpx/Ncapd2/Nek2/Nsmce2/Kifc5b/Ncapd3/Mnd1/Tnks/Mastl/Ncaph/Prc1/Anapc4/Aaas/Fancd2/Spdl1/Prc1/Ccne1/Mki67/Rad54b/Fanca/Bora/Fbxo43/Brca2/Cit/Hspa1b/Cdc16/Ccdc61/Gen1/Cdkn1b/Psmc3ip/Aurkb/Anapc1/Kif3b/Kif22/Nanos2/Fgfr3	68
GO:0098813	GO:0098813	nuclear chromosome segregation	54/778	165/7982	1.70927630541333e-16	8.67457724997265e-14	7.96837625010451e-14	Bub1/Ndc80/Cenpf/Cdt1/Birc5/Mis12/Trip13/Kif23/Prc1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Fen1/Kif18a/Numa1/Mad2l1/Ncaph2/Dscc1/Ncapg2/Cenpx/Ncapd2/Esco2/Nek2/Nsmce2/Rmi2/Kifc5b/Hdac8/Ncapd3/Tnks/Ncaph/Prc1/Anapc4/Fancd2/Spdl1/Prc1/Ccne1/Brca2/Cit/Cdc16/Gen1/Ect2/Mcmbp/Lats1/Psmc3ip/Aurkb/Anapc1/Kif22	54
GO:0000070	GO:0000070	mitotic sister chromatid segregation	41/778	109/7982	3.56847085373184e-15	1.60977685179458e-12	1.47872423798502e-12	Bub1/Ndc80/Cdt1/Birc5/Mis12/Trip13/Kif23/Prc1/Racgap1/Ncapg/Smc2/Incenp/Cdc20/Cenpc1/Plk1/Cenpk/Nusap1/Kntc1/Kif18a/Numa1/Mad2l1/Ncaph2/Dscc1/Ncapg2/Ncapd2/Nek2/Nsmce2/Kifc5b/Ncapd3/Tnks/Ncaph/Prc1/Anapc4/Spdl1/Prc1/Cit/Cdc16/Gen1/Aurkb/Anapc1/Kif22	41
GO:0006261	GO:0006261	DNA-dependent DNA replication	39/778	102/7982	9.02388126221484e-15	3.66369579245922e-12	3.36543276968707e-12	Cdt1/Orc1/Prim2/Mcm7/Mcm3/Gins3/Cdc45/Pcna/Pold2/Rad51/Mcm4/Ssbp1/Rfc3/Dscc1/Cenpx/Rfc5/Mcm2/Rfc4/Pole2/Pold1/Mcm9/Tipin/Dbf4/Mms22l/Pola1/Timeless/Ccne1/Orc4/Lig1/Pole/E2f8/Brca2/Wrn/Gen1/Blm/Mcm6/Mcmbp/Traip/Twnk	39
