ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005615	GO:0005615	extracellular space	96/716	428/8052	1.80673173864441e-18	8.18449477605916e-16	7.41710924285598e-16	Prss42/Manf/Moxd1/Spint3/Serpinb1a/Sdcbp/Prss48/Svep1/Pdia6/Lbp/Col12a1/Chia1/Fabp5/Pon1/Cd109/Reg1/Pnliprp1/Ist1/Selenos/Bhmt/Hspa8/Calr/Wfdc18/Creld2/Susd2/Lingo2/Akr1b3/Bmp1/Mmp9/Ctsl/Plg/Copa/Fkrp/Met/Fabp3/Ctsll3/Igfals/Ctrl/Mmp2/Fstl1/Pcsk9/Amy2a5/Qsox1/Mmp7/Klk8/Crispld1/Ctsz/Xdh/Ckb/Cilp/Cpa2/Lipg/Lipi/Colec10/Apod/Lrig2/Bmp7/Clec3b/Bmper/Dnajb11/Col20a1/Cstb/Entpd1/Axl/Mif/Col11a1/Col22a1/Klkb1/Vwc2l/Bsph1/Asah1/Slit1/Glipr1l1/Acan/Kcp/Wfikkn2/Smpd1/Dag1/Mmp19/Pdia4/Cpb1/Sord/Hpgd/Amy1/Angpt4/Cpa1/Crisp2/Cela2a/Hgf/Col11a2/Srpx2/Alpl/Kars/Aqp2/Fbn1/Adamts9	96
GO:0030312	GO:0030312	external encapsulating structure	49/716	206/8052	7.63548636264114e-11	1.15295844075881e-08	1.04485602857195e-08	Serpinb1a/Col26a1/Svep1/Col12a1/Mmp10/Lama2/Reg1/Mmp24/Vwa5a/Calr/Adamts6/Gsto1/Col6a6/Lingo2/Bmp1/Mmp9/Ctsl/Plg/Matn3/Col6a4/Mmp2/Mmp7/Ctsz/Cilp/Colec12/Lrig2/Bmp7/Clec3b/Mmp20/Mmp16/Bmper/Col20a1/Cstb/Entpd1/Col11a1/Col22a1/Notch2/Acan/Dag1/Mmp15/Mmp19/Angpt4/Cela2a/Col11a2/Hmcn1/Srpx2/Alpl/Fbn1/Adamts9	49
GO:0031012	GO:0031012	extracellular matrix	49/716	206/8052	7.63548636264114e-11	1.15295844075881e-08	1.04485602857195e-08	Serpinb1a/Col26a1/Svep1/Col12a1/Mmp10/Lama2/Reg1/Mmp24/Vwa5a/Calr/Adamts6/Gsto1/Col6a6/Lingo2/Bmp1/Mmp9/Ctsl/Plg/Matn3/Col6a4/Mmp2/Mmp7/Ctsz/Cilp/Colec12/Lrig2/Bmp7/Clec3b/Mmp20/Mmp16/Bmper/Col20a1/Cstb/Entpd1/Col11a1/Col22a1/Notch2/Acan/Dag1/Mmp15/Mmp19/Angpt4/Cela2a/Col11a2/Hmcn1/Srpx2/Alpl/Fbn1/Adamts9	49
GO:0034663	GO:0034663	endoplasmic reticulum chaperone complex	9/716	12/8052	5.7046695210287e-08	6.460538232565e-06	5.85479240316104e-06	Hyou1/Ppib/Hspa5/Hsp90b1/Pdia6/Dnajb11/P4hb/Pdia4/Mzb1	9
GO:0005790	GO:0005790	smooth endoplasmic reticulum	12/716	27/8052	1.10733029661363e-06	0.000100324124873195	9.09176454061721e-05	Hyou1/Ppib/Hspa5/Dnajc3/Hsp90b1/Pdia6/Calr/Syvn1/Gabarap/Canx/Pdia4/Myo5a	12
GO:0062023	GO:0062023	collagen-containing extracellular matrix	32/716	150/8052	2.12691961652003e-06	0.000160582431047262	0.000145526079025055	Serpinb1a/Col12a1/Lama2/Reg1/Vwa5a/Calr/Gsto1/Col6a6/Bmp1/Mmp9/Ctsl/Plg/Matn3/Col6a4/Ctsz/Cilp/Colec12/Bmp7/Bmper/Col20a1/Cstb/Entpd1/Col11a1/Col22a1/Acan/Dag1/Angpt4/Cela2a/Col11a2/Hmcn1/Srpx2/Fbn1	32
GO:0140534	GO:0140534	endoplasmic reticulum protein-containing complex	24/716	99/8052	3.95387500667898e-06	0.000255872196860797	0.000231881391369143	Hyou1/Derl1/Ppib/Hspa5/Hsp90b1/Pdia6/H13/Derl2/Selenos/Spcs2/Calr/Syvn1/Tmem258/Get3/Ganab/Derl2/Dnajb11/P4hb/Ddost/Pdia4/Stt3a/Mzb1/Nploc4/Ern1	24
GO:0009986	GO:0009986	cell surface	47/716	284/8052	1.87669607720449e-05	0.00106267915371704	0.000963041408039147	Cryab/Alpi/Hspa5/Abcb1b/Lbp/Notch1/H13/Scara5/Ptprt/Hspa8/Calr/Neo1/Abcb1a/Adgre1/Tspan33/Lrp6/Ctsl/Plg/Mrc1/Tspear/Lrp6/Mrc2/Pcsk9/Ghsr/Cd163/Mmp7/Pla2r1/Trpv4/Ctsz/Lipg/Rer1/Abcg2/Entpd1/Axl/P4hb/Mif/Trhr/Bsph1/Notch2/Dag1/Pdia4/Chrna7/Phb/Gria1/Srpx2/Epha5/Adamts9	47
GO:0051233	GO:0051233	spindle midzone	9/716	21/8052	3.64573186916594e-05	0.00183501837414686	0.00166296541400552	Incenp/Plk1/Prc1/Kif18a/Racgap1/Numa1/Aurkb/Prc1/Prc1	9
GO:0005887	GO:0005887	integral component of plasma membrane	65/716	453/8052	5.82903549657213e-05	0.00243446655483376	0.00220620879838542	Slc3a1/Clca3a1/Bcap31/Sdcbp/Slc22a18/Slc28a3/Notch1/Scara5/Ptprt/Grik3/Mmp24/Plpp1/Neo1/Adgre1/Slc2a8/Tspan33/Calm1/Sstr2/Stom/Slco2a1/Met/Slco4c1/Npbwr1/Glra2/Adrb2/Clec1b/Oprk1/Trpv4/Igf1r/Slc39a8/Slc28a2/Cysltr1/Rho/Mep1b/Tlr13/Mmp16/Adora2a/Axl/Irs1/Ms4a4b/Pcdh19/Kcnk5/Adgrd1/Vwc2l/Notch2/Abcc1/Fgfr1/Mmp15/Abcc3/Chrna7/Slc16a9/Mfsd12/Slc16a13/Phb/Ank2/Chrna6/Slc22a1/Npc1/Galr2/Cd207/Gria1/Epha5/Opn4/Slc32a1/Aqp2	65
GO:0030496	GO:0030496	midbody	22/716	101/8052	5.91150819054555e-05	0.00243446655483376	0.00220620879838542	Hspa5/Cdk1/Cenpf/Hsp90b1/Incenp/Kif4/Plk1/Kif23/Prc1/Ist1/Kif20a/Cenpc1/Racgap1/Aspm/Birc5/Spg20/Anln/Nek2/Aurkb/Prc1/Ect2/Prc1	22
GO:1990023	GO:1990023	mitotic spindle midzone	6/716	10/8052	7.44179581775179e-05	0.0028092779212013	0.0025458775165993	Prc1/Kif18a/Numa1/Aurkb/Prc1/Prc1	6
GO:0072686	GO:0072686	mitotic spindle	21/716	98/8052	0.000111076932602815	0.00387060388223654	0.00350769260850994	Cdk1/Kif11/Plk1/Kif23/Prc1/Tpx2/Kif18a/Nusap1/Haus1/Racgap1/Numa1/Aspm/Mad2l1/Kifc5b/Aurkb/Haus3/Prc1/Kif22/Ect2/Haus4/Prc1	21
GO:0031226	GO:0031226	intrinsic component of plasma membrane	66/716	473/8052	0.000120411991183667	0.00389618800044294	0.00353087793696467	Prss42/Slc3a1/Clca3a1/Bcap31/Sdcbp/Slc22a18/Slc28a3/Notch1/Scara5/Ptprt/Grik3/Mmp24/Plpp1/Neo1/Adgre1/Slc2a8/Tspan33/Calm1/Sstr2/Stom/Slco2a1/Met/Slco4c1/Npbwr1/Glra2/Adrb2/Clec1b/Oprk1/Trpv4/Igf1r/Slc39a8/Slc28a2/Cysltr1/Rho/Mep1b/Tlr13/Mmp16/Adora2a/Axl/Irs1/Ms4a4b/Pcdh19/Kcnk5/Adgrd1/Vwc2l/Notch2/Abcc1/Fgfr1/Mmp15/Abcc3/Chrna7/Slc16a9/Mfsd12/Slc16a13/Phb/Ank2/Chrna6/Slc22a1/Npc1/Galr2/Cd207/Gria1/Epha5/Opn4/Slc32a1/Aqp2	66
GO:0045177	GO:0045177	apical part of cell	35/716	209/8052	0.000171284756083257	0.00517279963371437	0.00468779332438389	Slc3a1/Mgst1/Slc22a18/Abcb1b/Notch1/Plpp1/Slc34a2/Abcb1a/Numa1/Ctsl/Aspm/Slc22a4/Birc5/Fabp2/Edar/Adrb2/Cyp4f40/Slc39a8/Slc5a8/Lgmn/Hsd11b1/Abcg2/Slc10a2/Slc46a1/Myl12b/Abcc1/Chrna7/Mip/Atp6v1a/Gpr143/Slc22a1/Slc7a9/Jag1/Hax1/Aqp2	35
GO:0042175	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	55/716	381/8052	0.000186545851933176	0.00528157943285804	0.00478637383249596	Moxd1/Scd1/Nus1/Cyp3a11/Derl1/Bcap31/Cyp3a41a/Saraf/Spink5/Hspa5/Nfe2l1/Creb3l3/Hsp90b1/Ugt2b34/Rab1a/Notch1/H13/Msmo1/Hrc/Tapt1/Derl2/Eif2ak3/Ebp/Selenos/Spcs2/Slc35b1/Calr/Syvn1/Ero1b/Selenok/Tmem258/Cyp3a44/Xbp1/Mbtps2/Fitm2/Sec22b/Stard3/Rho/Derl2/Hsd11b1/Lbr/Tm7sf2/Cyp2c23/Sc5d/Ugt2b1/Ddost/Canx/Stt3a/Cyp46a1/Slc35b4/Aadac/Nploc4/Ern1/Gria1/Fmn2	55
GO:0005789	GO:0005789	endoplasmic reticulum membrane	53/716	365/8052	0.000210124801358366	0.00559920794207882	0.00507422120927324	Moxd1/Scd1/Nus1/Cyp3a11/Derl1/Bcap31/Cyp3a41a/Saraf/Spink5/Hspa5/Nfe2l1/Creb3l3/Hsp90b1/Rab1a/Notch1/H13/Msmo1/Hrc/Tapt1/Derl2/Eif2ak3/Ebp/Selenos/Spcs2/Slc35b1/Calr/Syvn1/Ero1b/Selenok/Tmem258/Cyp3a44/Xbp1/Mbtps2/Fitm2/Sec22b/Stard3/Rho/Derl2/Hsd11b1/Lbr/Tm7sf2/Cyp2c23/Sc5d/Ddost/Canx/Stt3a/Cyp46a1/Slc35b4/Aadac/Nploc4/Ern1/Gria1/Fmn2	53
GO:0016324	GO:0016324	apical plasma membrane	27/716	150/8052	0.000285687252449077	0.00718979585330177	0.00651567417866316	Slc3a1/Slc22a18/Abcb1b/Notch1/Plpp1/Slc34a2/Abcb1a/Aspm/Slc22a4/Birc5/Adrb2/Cyp4f40/Slc39a8/Slc5a8/Abcg2/Slc10a2/Slc46a1/Abcc1/Chrna7/Mip/Atp6v1a/Gpr143/Slc22a1/Slc7a9/Jag1/Hax1/Aqp2	27
GO:0030176	GO:0030176	integral component of endoplasmic reticulum membrane	19/716	91/8052	0.000331688568344567	0.00790815376105731	0.00716667820799895	Scd1/Derl1/Saraf/Hspa5/Nfe2l1/H13/Tapt1/Derl2/Selenos/Slc35b1/Calr/Xbp1/Fitm2/Derl2/Hsd11b1/Tm7sf2/Canx/Slc35b4/Ern1	19
GO:0098827	GO:0098827	endoplasmic reticulum subcompartment	53/716	373/8052	0.000362859540548429	0.00821876859342192	0.00744816951652039	Moxd1/Scd1/Nus1/Cyp3a11/Derl1/Bcap31/Cyp3a41a/Saraf/Spink5/Hspa5/Nfe2l1/Creb3l3/Hsp90b1/Rab1a/Notch1/H13/Msmo1/Hrc/Tapt1/Derl2/Eif2ak3/Ebp/Selenos/Spcs2/Slc35b1/Calr/Syvn1/Ero1b/Selenok/Tmem258/Cyp3a44/Xbp1/Mbtps2/Fitm2/Sec22b/Stard3/Rho/Derl2/Hsd11b1/Lbr/Tm7sf2/Cyp2c23/Sc5d/Ddost/Canx/Stt3a/Cyp46a1/Slc35b4/Aadac/Nploc4/Ern1/Gria1/Fmn2	53
GO:0005819	GO:0005819	spindle	32/716	193/8052	0.000386552505058026	0.00833848975196599	0.00755666551241253	Cdk1/Cenpf/Incenp/Kif11/Plk1/Kif23/Prc1/Tpx2/Kif18a/Nusap1/Haus1/Kif20a/Racgap1/Numa1/Calm1/Aspm/Birc5/Mad2l1/Bora/Kifc5b/Nek2/Cetn1/Lats1/Aurkb/Haus3/Prc1/Tubgcp5/Kif22/Ect2/Fmn2/Haus4/Prc1	32
GO:0031526	GO:0031526	brush border membrane	11/716	40/8052	0.00053216748817539	0.0109578123701569	0.00993039810470823	Slc3a1/Slc28a3/Slc34a2/Abcb1a/Slc5a6/Slc28a2/Slc5a8/Abcg2/Slc46a1/Plb1/Slc7a9	11
GO:0031227	GO:0031227	intrinsic component of endoplasmic reticulum membrane	19/716	95/8052	0.000586464082236292	0.0115507925762191	0.0104677799575357	Scd1/Derl1/Saraf/Hspa5/Nfe2l1/H13/Tapt1/Derl2/Selenos/Slc35b1/Calr/Xbp1/Fitm2/Derl2/Hsd11b1/Tm7sf2/Canx/Slc35b4/Ern1	19
GO:0005876	GO:0005876	spindle microtubule	11/716	41/8052	0.000669882360089079	0.0126440295466814	0.0114585140541553	Cdk1/Kif11/Plk1/Kif18a/Haus1/Numa1/Calm1/Birc5/Aurkb/Haus3/Haus4	11
GO:0000779	GO:0000779	condensed chromosome, centromeric region	17/716	83/8052	0.000846867215025275	0.014881537377046	0.0134862311538235	Cenpf/Incenp/Bub1/Plk1/Cbx5/Ndc80/Cdt1/Kif18a/Cenph/Cenpc1/Ncapg/Birc5/Mad2l1/Cenpx/Nek2/Ncapd3/Aurkb	17
GO:0005581	GO:0005581	collagen trimer	9/716	30/8052	0.000854127973075486	0.014881537377046	0.0134862311538235	Col26a1/Col12a1/Col6a6/Col6a4/Colec12/Colec10/Col20a1/Col11a1/Col11a2	9
GO:0000776	GO:0000776	kinetochore	16/716	80/8052	0.00155318163374852	0.0260589362995586	0.0236156271798021	Cenpf/Incenp/Bub1/Plk1/Cbx5/Ndc80/Cdt1/Kif18a/Cenph/Cenpc1/Birc5/Mad2l1/Cenpx/Nek2/Ncapd3/Aurkb	16
GO:0042470	GO:0042470	melanosome	8/716	27/8052	0.00180812427534878	0.0282441481632068	0.0255959516292567	Rab1a/Ankrd27/Rab32/Tyr/Mfsd12/Myo5a/Gpr143/Rab9	8
GO:0048770	GO:0048770	pigment granule	8/716	27/8052	0.00180812427534878	0.0282441481632068	0.0255959516292567	Rab1a/Ankrd27/Rab32/Tyr/Mfsd12/Myo5a/Gpr143/Rab9	8
