ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016491	GO:0016491	oxidoreductase activity	96/711	482/7956	9.54279291773449e-15	6.62269828490774e-12	5.51472980193288e-12	Cyp2g1/Moxd1/Nsdhl/Scd1/Cyp3a25/Cyp3a11/Cyp3a41a/Mgst1/Frrs1/Rdh12/Txndc12/Fth1/Pdia6/Gpx6/Mtarc2/Msmo1/Ifi30/Kdm3b/Ptgr1/Cyp2d26/Cbs/Cyp17a1/Mgst3/Cyp1a1/Glyr1/Ero1b/Vat1l/Hmox2/Cyp3a16/Ido1/Gsto1/Cyp3a44/Rrm2/Akr1b3/Smox/Sqle/Smox/Gsta4/Fasn/Cyp51/Alkbh6/Aldh2/Zadh2/Qsox1/Aifm2/Cryz/Cyp4f40/Xdh/Adh6b/Grhpr/Cyp3a59/Dhfr/Nxn/Frrs1/Pdia5/Kdm8/Hsd11b1/Cyp2d40/Cyp2j12/Cyp2u1/Cyb561d2/Aldh5a1/Me3/Haao/Lbr/P4hb/Cygb/Selenom/Tm7sf2/Pipox/Cyp2c23/Sc5d/Tyr/Dhrs11/Cyp2j13/Alox5/Gsta1/Pdia4/Sord/Hpgd/Prdx6/Cyp46a1/Aldh1a1/Ndufv1/Pecr/Fmo6/Aldh2/Hsd3b7/Gsto2/Bco2/Aloxe3/Aifm3/Sdha/Hsd17b14/Aldh8a1/Hadh	96
GO:0004497	GO:0004497	monooxygenase activity	24/711	68/7956	1.5582766660148e-09	5.40722003107134e-07	4.50259941916907e-07	Cyp2g1/Moxd1/Cyp3a25/Cyp3a11/Cyp3a41a/Msmo1/Cyp2d26/Cyp17a1/Cyp1a1/Hmox2/Cyp3a16/Cyp3a44/Sqle/Cyp51/Cyp4f40/Cyp3a59/Cyp2d40/Cyp2j12/Cyp2u1/Cyp2c23/Tyr/Cyp2j13/Cyp46a1/Fmo6	24
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	29/711	105/7956	1.9978660395748e-08	2.96532917705405e-06	2.46923360867993e-06	Cyp2g1/Moxd1/Scd1/Cyp3a25/Cyp3a11/Cyp3a41a/Msmo1/Kdm3b/Cyp2d26/Cyp17a1/Cyp1a1/Hmox2/Cyp3a16/Cyp3a44/Sqle/Cyp51/Cyp4f40/Cyp3a59/Kdm8/Cyp2d40/Cyp2j12/Cyp2u1/P4hb/Cyp2c23/Sc5d/Tyr/Cyp2j13/Cyp46a1/Fmo6	29
GO:0008395	GO:0008395	steroid hydroxylase activity	15/711	32/7956	2.13640430623491e-08	2.96532917705405e-06	2.46923360867993e-06	Cyp2g1/Cyp3a25/Cyp3a11/Cyp3a41a/Cyp2d26/Cyp17a1/Cyp1a1/Cyp3a16/Cyp3a44/Cyp3a59/Cyp2j12/Cyp2u1/Cyp2c23/Cyp2j13/Cyp46a1	15
GO:0016712	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	15/711	32/7956	2.13640430623491e-08	2.96532917705405e-06	2.46923360867993e-06	Cyp2g1/Cyp3a25/Cyp3a11/Cyp3a41a/Cyp2d26/Cyp1a1/Hmox2/Cyp3a16/Cyp3a44/Cyp4f40/Cyp3a59/Cyp2j12/Cyp2u1/Cyp2c23/Cyp2j13	15
GO:0005506	GO:0005506	iron ion binding	24/711	88/7956	4.32568296417257e-07	5.00337329522628e-05	4.16631569707148e-05	Scd1/Cyp3a25/Cyp3a11/Cyp3a41a/Fth1/Msmo1/Cyp2d26/Cyp17a1/Cyp1a1/Calr/Cyp3a16/Cyp3a44/Rrm2/Cyp51/Xdh/Cyp3a59/Cyp2u1/Haao/Cygb/Cyp2c23/Sc5d/Alox5/Cyp46a1/Aloxe3	24
GO:0004175	GO:0004175	endopeptidase activity	37/711	179/7956	8.76645374630128e-07	8.69131271419012e-05	7.23726782965323e-05	Prss42/Prss48/Mmp10/H13/Mmp24/Tll1/Adamts6/Bmp1/Mmp9/Ctsl/Plg/Mbtps2/Prss12/Ctsll3/Ctrl/Ctrb1/Mmp2/Pcsk9/Mmp7/Klk8/Ctsz/Mep1b/Lgmn/Mmp20/Mmp16/Kdm8/Gzmm/Klkb1/Senp1/Mmp15/Mmp19/Prep/Cela2a/Hgf/Semp2l2a/Capn3/Adamts9	37
GO:0020037	GO:0020037	heme binding	21/711	77/7956	2.27407134487324e-06	0.000197275689167754	0.000164271732675712	Cyp2g1/Cyp3a25/Cyp3a11/Cyp3a41a/Cyp2d26/Cbs/Cyp17a1/Cyp1a1/Hmox2/Cyp3a16/Ido1/Cyp51/Hebp2/Cyp2d40/Cyp2j12/Cyp2u1/Cyb561d2/Cygb/Cyp2c23/Cyp2j13/Cyp46a1	21
GO:0051787	GO:0051787	misfolded protein binding	9/711	18/7956	8.02685736026825e-06	0.000618959889780685	0.000515408735764593	Derl1/Hspa5/Hspa1b/Dnajc3/Derl2/Hspa8/Hspa13/Derl2/Dnajb11	9
GO:0016860	GO:0016860	intramolecular oxidoreductase activity	13/711	37/7956	9.77581284377321e-06	0.000643249124898572	0.000535634414635698	Hpgds/Pdia6/Ebp/Ero1b/Creld2/Gsta4/Qsox1/Pdia5/P4hb/Mif/Idi1/Gsta1/Pdia4	13
GO:0046906	GO:0046906	tetrapyrrole binding	21/711	84/7956	1.01955913168361e-05	0.000643249124898572	0.000535634414635698	Cyp2g1/Cyp3a25/Cyp3a11/Cyp3a41a/Cyp2d26/Cbs/Cyp17a1/Cyp1a1/Hmox2/Cyp3a16/Ido1/Cyp51/Hebp2/Cyp2d40/Cyp2j12/Cyp2u1/Cyb561d2/Cygb/Cyp2c23/Cyp2j13/Cyp46a1	21
