ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006805	GO:0006805	xenobiotic metabolic process	24/730	54/7982	8.05392888465384e-12	2.02409700676652e-08	1.91351496096959e-08	Cyp2g1/Cyp1a1/Gsta4/Cyp2d26/Cyp46a1/Cyp2b19/Ugt1a6a/Gsto2/Cyp2j13/Nceh1/Cyp2u1/Gsto1/Ugt1a7c/Acaa1a/Gstm1/Cyp2b10/Ugt1a5/As3mt/Ugt1a6b/Cryz/Ugt1a10/Gstm5/Ugt2b1/Rora	24
GO:0008202	GO:0008202	steroid metabolic process	46/730	172/7982	1.02615817833537e-11	2.02409700676652e-08	1.91351496096959e-08	Cyp3a25/Nsdhl/Cyp3a41a/Cyp3a11/Pon1/Scd1/Cyp1a1/Cebpa/Cyp17a1/Nr1h4/Cyp46a1/Cyp3a44/Cyp3a16/Hsd11b1/Cyp3a59/Nfe2l1/Cyp2b19/Ebp/Egr1/Lrp1/Msmo1/Ugt1a7c/Rdh1/Ephx2/Snai2/Stat5b/Por/Srd5a1/Acaa1a/Cyp2b10/Ugt1a5/Dhrs11/Cyp51/Erlin1/Ugt2b1/Pcsk9/Lbr/Rora/Ephx2/Asah1/Sqle/Hsd17b14/Malrd1/Sdr42e1/Cubn/Tm7sf2	46
GO:0120254	GO:0120254	olefinic compound metabolic process	28/730	76/7982	3.52795583819154e-11	4.63926192722187e-08	4.38580615253074e-08	Cyp2g1/Rdh12/Cyp1a1/Cyp17a1/Cyp2d26/Cyp46a1/Aloxe3/Cyp4f40/Adh6b/Cyp2b19/Egr1/Cyp2j13/Cyp2u1/Alox5/Rdh1/Ephx2/Cyp4f14/Stat5b/Srd5a1/Rdh13/Cyp2b10/Retsat/Ephx1/Cyp4f15/Aldh1a1/Ephx2/Gpx1/Adh1	28
GO:0033559	GO:0033559	unsaturated fatty acid metabolic process	23/730	55/7982	1.01197916038771e-10	9.9806444693238e-08	9.43537411908858e-08	Cyp2g1/Hpgds/Scd1/Ces2g/Ptgr1/Cyp2d26/Aloxe3/Cyp4f40/Cyp2b19/Cyp2j13/Cyp2u1/Alox5/Ephx2/Cyp4f14/Acox1/Hpgd/Avp/Cyp2b10/Ephx1/Decr2/Cyp4f15/Ephx2/Gpx1	23
GO:0009410	GO:0009410	response to xenobiotic stimulus	41/730	162/7982	8.83941890852068e-10	6.97430151882282e-07	6.59327604060816e-07	Cyp2g1/Fos/Mgst1/Cyp1a1/Abcb1b/Gsta4/Mmp7/Nr1h4/Cyp2d26/Cyp46a1/Abcb1a/Cyp2b19/Ugt1a6a/Gsto2/Cyp2j13/Nceh1/Cyp2u1/Mmp2/Xbp1/Gsto1/Ugt1a7c/Srd5a1/Chrna7/Acaa1a/Gstm1/Grm2/Cyp2b10/Ugt1a5/As3mt/Slc1a3/Ugt1a6b/Cryz/Ugt1a10/Gstm5/Ugt2b1/Aldh1a1/Rora/Chrna3/Slc1a1/Gpx1/P2rx7	41
GO:0006690	GO:0006690	icosanoid metabolic process	22/730	58/7982	2.40982518838414e-09	1.58446006136257e-06	1.49789660393772e-06	Cyp2g1/Hpgds/Ces2g/Ptgr1/Mgst3/Cyp2d26/Aloxe3/Cyp4f40/Cyp2b19/Cyp2j13/Cyp2u1/Alox5/Cyp4f14/Acox1/Hpgd/Avp/Cyp2b10/Ephx1/Mgst2/Cyp4f15/Gpx1/Tlr2	22
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	39/730	156/7982	3.35662969883931e-09	1.89170059456016e-06	1.7883517327801e-06	Manf/Bcap31/Derl1/Txndc12/Hyou1/Hspa5/Creb3l3/Derl2/Hsp90b1/Dnajc3/H13/Pdia6/Selenos/Syvn1/P4hb/Derl2/Calr/Selenok/Nfe2l1/Nrbf2/Eif2s1/Pdia4/Mbtps2/Grina/Erp29/Eif2ak3/Canx/Ubxn4/Rnf185/Xbp1/Alox5/Herpud2/Pdia4/Ccdc47/Tbl2/Erlin1/Thbs1/Bhlha15/Ube2j1	39
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	66/730	350/7982	5.97856373891442e-09	2.94817924375217e-06	2.78711201670708e-06	Cyp2g1/Hpgds/Scd1/Ces2g/Cyp1a1/Ptgr1/Ido1/Arl2/Cygb/Nr1h4/Cyp2d26/Aloxe3/Cyp4f40/Adh6b/Faah/Nfe2l1/Cyp2b19/Akr1a1/Ugt1a6a/Eif2ak3/Cyp2j13/Crabp1/Cyp2u1/Fabp2/Lipi/Acsf2/Alox5/Ugt1a7c/Rdh1/Ephx2/Cyp4f14/Por/Acox1/Hpgd/Thnsl2/Acaa1a/Avp/Cyp2b10/Ugt1a5/Slc1a3/Ugt1a6b/Ephx1/Ehhadh/Ugt1a10/Ghsr/Pecr/Degs1/Pfkp/Decr2/Crat/Entpd5/Cyp4f15/Erlin1/Ugt2b1/Echs1/Rgn/Aldh1a1/Ephx2/Asah1/Gpx1/Malrd1/Srr/P2rx7/Hk1/Tyrp1/Adh1	66
GO:0071466	GO:0071466	cellular response to xenobiotic stimulus	25/730	80/7982	2.00360679996193e-08	8.78247647316647e-06	8.30266537107032e-06	Cyp2g1/Cyp1a1/Gsta4/Nr1h4/Cyp2d26/Cyp46a1/Cyp2b19/Ugt1a6a/Gsto2/Cyp2j13/Nceh1/Cyp2u1/Gsto1/Ugt1a7c/Acaa1a/Gstm1/Cyp2b10/Ugt1a5/As3mt/Ugt1a6b/Cryz/Ugt1a10/Gstm5/Ugt2b1/Rora	25
GO:0006457	GO:0006457	protein folding	29/730	108/7982	6.62517670357004e-08	2.61363220955838e-05	2.47084221692091e-05	Cryab/Tbce/Tbcd/Hspa5/Tbcc/Ppib/Hspa1b/Hsp90b1/Dnajc3/Arl2/Tbca/P4hb/Hspb1/Hspa8/Qsox1/Calr/Dnajb1/Pdia4/Hspa13/Ero1b/Pdia5/Canx/Mesd/Tor1b/Pdia4/Tbcel/Hspb6/Fkbp1b/Entpd5	29
