ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005615	GO:0005615	extracellular space	88/738	428/8052	9.4930110044008e-14	4.15793881992755e-11	3.61733682483483e-11	Prss42/Spint3/Serpinb1a/Moxd1/Manf/Pon1/Lbp/Cpa2/Svep1/Prss48/Sdcbp/Wfikkn2/Col12a1/Mmp7/Pdia6/Bsph1/Susd2/Wfdc18/Reg1/Col14a1/Selenos/Plg/Ctsl/Cd109/Ist1/Hspa8/Qsox1/Calr/Creld2/Cstb/Amy1/Bmp7/Pdia4/Crisp2/Pnliprp1/Myoc/Bhmt/Lipi/Mmp2/Slit1/Ctsc/Crispld1/Kcp/Xdh/Metrn/Pdia4/C9orf72/Ctsll3/Ctsz/Hpgd/Avp/Apod/Copa/Lrig2/Ngf/Angptl1/Klkb1/Cela2a/Sparc/Crisp1/Vwc2l/Lrrtm2/Igfals/Ctrl/Pcsk9/Pi16/Thbs1/Ctsf/Axl/Glipr1l1/Gp1ba/Kars/Sord/Asah1/Fgl2/Entpd1/Cpn2/Slit3/Ggt1/Col11a2/Cubn/Smpdl3b/Adam15/BC051665/Klk8/Lingo2/Srpx2/Prom1	88
GO:0009986	GO:0009986	cell surface	57/738	284/8052	7.37810281100648e-09	1.61580451561042e-06	1.40572274609702e-06	Cryab/Alpi/Hspa5/Lbp/Abcb1b/Lrp6/H13/Mmp7/Lrp6/Bsph1/Plg/Ctsl/P4hb/Abcg2/Hspa8/Calr/Tspan33/Abcb1a/Gria2/Mrc1/Pdia4/Rer1/Adgre1/Neo1/Erp29/Lrp1/Mrc2/Pdia4/Chrna7/Ctsz/Clcn3/Slc1a3/Arsb/Abcg2/Trpv4/Enpep/Ptprt/Ghsr/Sparc/Pcsk9/Ank3/Thbs1/Axl/Gp1ba/Cd163/Slc1a1/Entpd1/Aqp4/P2rx7/Trhr/Tlr2/Adam15/Tmx3/Itgb7/Srpx2/Tacr1/Prom1	57
GO:0030137	GO:0030137	COPI-coated vesicle	12/738	23/8052	1.68479318797872e-07	1.89379021334191e-05	1.64756562660363e-05	Sec22b/Kdelr2/Bnip1/Tmed10/Arcn1/Copb1/Copz1/Copg1/Copa/Copg2/Cope/Copb2	12
GO:0005790	GO:0005790	smooth endoplasmic reticulum	13/738	27/8052	1.72948877930768e-07	1.89379021334191e-05	1.64756562660363e-05	Hyou1/Hspa5/Ppib/Hsp90b1/Dnajc3/Pdia6/Syvn1/Calr/Pdia4/Erp29/Canx/Pdia4/Gabarap	13
GO:0045177	GO:0045177	apical part of cell	43/738	209/8052	2.65956825964378e-07	2.32978179544795e-05	2.02687096840221e-05	Slc3a1/Mgst1/Plpp1/Abcb1b/Slc22a18/Ctsl/Abcg2/Cyp4f40/Hsd11b1/Abcb1a/Myo7a/Akr1a1/Fat1/Fabp2/Slc46a1/Lrp1/Gpr143/Abcc4/Atp6v1c1/Cyp4f14/Slc5a8/Slc10a2/Chrna7/Clcn3/Atp6v1e1/Abcg2/Rab17/Enpep/Atp6v1a/Slc6a9/Lgmn/Adrb2/Slc22a21/Slc26a2/Slc30a5/Cyp4f15/Slc34a2/Jag1/Slc1a1/Myl12b/Srr/Cubn/Prom1	43
GO:0042175	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	65/738	381/8052	4.39882656233584e-07	2.90114031305997e-05	2.52394326682939e-05	Moxd1/Cyp3a41a/Cyp3a11/Bcap31/Derl1/Scd1/Ugt2b34/Nus1/Hspa5/Creb3l3/Saraf/Hrc/Derl2/Hsp90b1/Rab1a/Spcs2/H13/Slc35b1/Tapt1/Cyp46a1/Selenos/Syvn1/Cyp3a44/Derl2/Sec22b/Hsd11b1/Aadac/Calr/Fitm2/Selenok/Sec11c/Nfe2l1/Kdelr2/Bnip1/Tmem258/Mbtps2/Ebp/Ero1b/Stt3a/Eif2ak3/Canx/Tusc3/Serinc1/Xbp1/Msmo1/Rdh1/Ncln/Rpn2/Sec61a2/Sec23a/Dpm3/Gosr2/Retsat/Ccdc47/Fkbp1b/Erlin1/Ugt2b1/Lbr/Duoxa1/Mogat2/Rho/Myorg/Fmn2/Tmx3/Tm7sf2	65
GO:0016324	GO:0016324	apical plasma membrane	34/738	150/8052	4.6365256144794e-07	2.90114031305997e-05	2.52394326682939e-05	Slc3a1/Plpp1/Abcb1b/Slc22a18/Abcg2/Cyp4f40/Abcb1a/Myo7a/Akr1a1/Fat1/Slc46a1/Gpr143/Abcc4/Cyp4f14/Slc5a8/Slc10a2/Chrna7/Clcn3/Atp6v1e1/Abcg2/Rab17/Enpep/Atp6v1a/Slc6a9/Adrb2/Slc22a21/Slc26a2/Slc30a5/Cyp4f15/Slc34a2/Jag1/Slc1a1/Cubn/Prom1	34
GO:0030663	GO:0030663	COPI-coated vesicle membrane	9/738	14/8052	5.71532973426595e-07	3.00223616209841e-05	2.61189495476959e-05	Kdelr2/Arcn1/Copb1/Copz1/Copg1/Copa/Copg2/Cope/Copb2	9
GO:0030126	GO:0030126	COPI vesicle coat	8/738	11/8052	6.16897841527071e-07	3.00223616209841e-05	2.61189495476959e-05	Arcn1/Copb1/Copz1/Copg1/Copa/Copg2/Cope/Copb2	8
GO:0098827	GO:0098827	endoplasmic reticulum subcompartment	63/738	373/8052	9.57211922503225e-07	3.82307291999947e-05	3.32600912530596e-05	Moxd1/Cyp3a41a/Cyp3a11/Bcap31/Derl1/Scd1/Nus1/Hspa5/Creb3l3/Saraf/Hrc/Derl2/Hsp90b1/Rab1a/Spcs2/H13/Slc35b1/Tapt1/Cyp46a1/Selenos/Syvn1/Cyp3a44/Derl2/Sec22b/Hsd11b1/Aadac/Calr/Fitm2/Selenok/Sec11c/Nfe2l1/Kdelr2/Bnip1/Tmem258/Mbtps2/Ebp/Ero1b/Stt3a/Eif2ak3/Canx/Tusc3/Serinc1/Xbp1/Msmo1/Rdh1/Ncln/Rpn2/Sec61a2/Sec23a/Dpm3/Gosr2/Retsat/Ccdc47/Fkbp1b/Erlin1/Lbr/Duoxa1/Osbpl8/Rho/Myorg/Fmn2/Tmx3/Tm7sf2	63
