ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016491	GO:0016491	oxidoreductase activity	111/733	482/7956	4.69077294227342e-21	3.13343632543865e-18	2.60214456902957e-18	Cyp2g1/Cyp3a25/Nsdhl/Moxd1/Cyp3a41a/Cyp3a11/Rdh12/Scd1/Mtarc2/Mgst1/Txndc12/Cyp1a1/Ptgr1/Gpx7/Cyp17a1/Ido1/Mgst3/Zadh2/Gsta4/Smox/Cygb/Pdia6/Ifi30/Cyp2d26/Hmox2/Cyp46a1/P4hb/Aloxe3/Cyp4f40/Cyp3a44/Cyp3a16/Vat1l/Hsd11b1/Qsox1/Frrs1/Cyp3a59/Nxn/Adh6b/Sccpdh/Hsd17b13/Cyp2b19/Pdia4/Akr1a1/Frrs1/Haao/Ero1b/Gsto2/Aifm2/Aldh2/Pdia5/Cyp2d40/Cyp2j13/Cyp2u1/Agmo/Fmo6/Msmo1/Alox5/Gsto1/Rdh1/Cyp4f14/Por/Srd5a1/Xdh/Pdia4/Acox1/Cyb561d2/Sqor/Rdh13/Hpgd/Acaa1a/Kdm8/Cyp2b10/Glrx5/Retsat/Ethe1/Dhrs11/Cryz/Iyd/Mgst2/Ehhadh/Pecr/Degs1/Decr2/Cyp51/Crat/Cyp4f15/Bbox1/Lbr/Fth1/Dohh/Aldh2/Glyr1/Aldh1a1/Sord/Blvrb/Dcxr/Smox/Gpx1/Sqle/Hsd17b14/Selenom/Pipox/L2hgdh/Sdr42e1/Alkbh2/Tmx3/Tm7sf2/Cyp20a1/Tyrp1/Adh1/Sdha	111
GO:0004497	GO:0004497	monooxygenase activity	29/733	68/7956	2.312474201613e-13	7.72366383338743e-11	6.41407318026343e-11	Cyp2g1/Cyp3a25/Moxd1/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Cyp2d26/Hmox2/Cyp46a1/Cyp4f40/Cyp3a44/Cyp3a16/Cyp3a59/Cyp2b19/Cyp2d40/Cyp2j13/Cyp2u1/Agmo/Fmo6/Msmo1/Cyp4f14/Cyp2b10/Cyp51/Cyp4f15/Dohh/Sqle/Cyp20a1/Tyrp1	29
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	36/733	105/7956	8.26152434432765e-13	1.83956608733696e-10	1.52765730858269e-10	Cyp2g1/Cyp3a25/Moxd1/Cyp3a41a/Cyp3a11/Scd1/Cyp1a1/Cyp17a1/Cyp2d26/Hmox2/Cyp46a1/P4hb/Cyp4f40/Cyp3a44/Cyp3a16/Cyp3a59/Cyp2b19/Cyp2d40/Cyp2j13/Cyp2u1/Agmo/Fmo6/Msmo1/Cyp4f14/Por/Kdm8/Cyp2b10/Degs1/Cyp51/Cyp4f15/Bbox1/Dohh/Sqle/Alkbh2/Cyp20a1/Tyrp1	36
GO:0005506	GO:0005506	iron ion binding	31/733	88/7956	1.46550074458904e-11	2.4473862434637e-09	2.03241813789059e-09	Cyp3a25/Cyp3a41a/Cyp3a11/Scd1/Cyp1a1/Cyp17a1/Cygb/Cyp2d26/Cyp46a1/Aloxe3/Cyp3a44/Cyp3a16/Calr/Cyp3a59/Cyp2b19/Haao/Cyp2u1/Agmo/Msmo1/Alox5/Cyp4f14/Xdh/Cyp2b10/Ethe1/Cyp51/Bbox1/Fth1/Dohh/Dnajc24/Alkbh2/Cyp20a1	31
GO:0016712	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	17/733	32/7956	3.12337779187583e-10	4.17283272994611e-08	3.46530546593382e-08	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp2d26/Hmox2/Cyp4f40/Cyp3a44/Cyp3a16/Cyp3a59/Cyp2b19/Cyp2j13/Cyp2u1/Cyp4f14/Cyp2b10/Cyp4f15	17
GO:0008395	GO:0008395	steroid hydroxylase activity	15/733	32/7956	3.2310773849792e-08	3.59726615527684e-06	2.98732944190182e-06	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Cyp2d26/Cyp46a1/Cyp3a44/Cyp3a16/Cyp3a59/Cyp2b19/Cyp2j13/Cyp2u1/Cyp2b10	15
GO:0020037	GO:0020037	heme binding	24/733	77/7956	4.69540501759912e-08	4.4807579310803e-06	3.72102021695449e-06	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Ido1/Cygb/Cyp2d26/Hmox2/Cyp46a1/Ngb/Cyp3a16/Cyp2b19/Cyp2d40/Cyp2j13/Cyp2u1/Hebp2/Cyp4f14/Cyb561d2/Cyp2b10/Cyp51/Cyp4f15/Cyp20a1	24
GO:0046906	GO:0046906	tetrapyrrole binding	25/733	84/7956	6.88219066517876e-08	5.74662920542426e-06	4.77225589545948e-06	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Ido1/Cygb/Cyp2d26/Hmox2/Cyp46a1/Ngb/Cyp3a16/Cyp2b19/Cyp2d40/Cyp2j13/Cyp2u1/Hebp2/Cyp4f14/Cyb561d2/Cyp2b10/Cyp51/Cyp4f15/Cubn/Cyp20a1	25
GO:0070330	GO:0070330	aromatase activity	10/733	15/7956	8.13009906125127e-08	6.03434019212872e-06	5.01118386582388e-06	Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp2d26/Cyp3a44/Cyp3a16/Cyp3a59/Cyp2b19/Cyp2b10	10
GO:0005342	GO:0005342	organic acid transmembrane transporter activity	25/733	87/7956	1.47485847402057e-07	8.95641327859762e-06	7.43780302209415e-06	Abcb1b/Abcg2/Ctns/Abcb1a/Slc46a1/Abcc4/Slc6a5/Slc5a12/Slc5a8/Slc10a2/Slc5a6/Slc1a3/Abcg2/Slc36a1/Slc6a9/Slc32a1/Slc16a14/Slc16a12/Slc16a10/Slc26a2/Slc1a1/Mfsd12/Slc17a6/Slc16a9/Slc16a13	25
