ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903047	GO:1903047	mitotic cell cycle process	81/399	400/7982	3.05938883256051e-29	1.04172189748685e-25	9.73529730613727e-26	Ccnb2/Bub1/Cdk1/Ccna2/Ndc80/Cdt1/Chek1/Kif11/Kif23/Kif4/Kif20a/Cdc25a/Prc1/Cenph/Cenpf/Trip13/Tpx2/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Rad51/Plk1/Kif18a/Cenpc1/Clspn/Cdc20/Gins1/Mcm4/Orc1/Smc2/Mis12/Rpa2/Nasp/Numa1/Dscc1/Gins3/Pcna/Mad2l1/Mcm3/Bora/Ncaph2/Cenpk/Kntc1/Cks1b/Tipin/Ncaph/Kifc5b/Anln/Ncapd3/Nek2/Ccne1/Calm1/Anapc1/Ccnf/Mki67/Cdkn1b/Mcm6/Prc1/Mastl/Fancd2/Ckap2/Mcph1/Cit/Sptbn1/Anapc4/Prc1/Dctn1/Brca2/Pola1/Hspa1b/Dbf4/Rbbp8/Bmp7/Lats1/Aurkb/Mcm6/Ect2/Gen1/Blm	81
GO:0000278	GO:0000278	mitotic cell cycle	88/399	485/7982	3.983249711702e-28	6.78148263417266e-25	6.33755993603956e-25	Ascl1/Ccnb2/Bub1/Cdk1/Ccna2/Ndc80/Cdt1/Chek1/Kif11/Kif23/Kif4/Kif20a/Cdc25a/Prc1/Cenph/Cenpf/Trip13/Tpx2/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Rad51/Plk1/Kif18a/Cenpc1/Clspn/Hes1/Cdc20/Gins1/Mcm4/Orc1/Smc2/Mis12/Rpa2/Nasp/Numa1/Dscc1/Gins3/Pcna/Mad2l1/Mcm3/Bora/Ncaph2/Cenpk/Kntc1/Cks1b/Cenpt/Tipin/Ncaph/Kifc5b/Anln/Ncapd3/Nek2/Ccne1/Calm1/Ska3/Anapc1/Ccnf/Mki67/Cdkn1b/Mcm6/Prc1/Mastl/Fancd2/Ckap2/Mcph1/Cit/Sptbn1/Tuba1a/E2f8/Anapc4/Prc1/Dctn1/Brca2/Pola1/Hspa1b/Dbf4/Rbbp8/Bmp7/Lats1/Tuba3a/Aurkb/Mcm6/Ect2/Gen1/Blm	88
GO:0098813	GO:0098813	nuclear chromosome segregation	46/399	165/7982	9.22816422287966e-23	1.04739663929684e-19	9.78832998097025e-20	Bub1/Ndc80/Cdt1/Kif23/Prc1/Cenpf/Trip13/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Mad2l1/Ncaph2/Cenpk/Kntc1/Ncaph/Kifc5b/Rmi2/Ncapd3/Fen1/Nek2/Cenpx/Hdac8/Ccne1/Anapc1/Prc1/Fancd2/Cit/Anapc4/Prc1/Brca2/Mcmbp/Lats1/Prdm9/Aurkb/Ect2/Gen1	46
GO:0007059	GO:0007059	chromosome segregation	50/399	202/7982	3.87099993455603e-22	3.29518869429082e-19	3.07948231635865e-19	Bub1/Ndc80/Cdt1/Kif23/Prc1/Cenph/Cenpf/Trip13/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Mad2l1/Ncaph2/Cenpk/Kntc1/Cenpt/Ncaph/Kifc5b/Rmi2/Ncapd3/Fen1/Nek2/Cenpx/Hdac8/Ccne1/Ska3/Anapc1/Mki67/Prc1/Fancd2/Cit/Anapc4/Prc1/Brca2/Mcmbp/Lats1/Prdm9/Aurkb/Ect2/Gen1	50
GO:0000280	GO:0000280	nuclear division	54/399	242/7982	1.45656023168417e-21	9.91917517776922e-19	9.26985595869738e-19	Ccnb2/Bub1/Ndc80/Cdt1/Chek1/Kif11/Kif23/Prc1/Trip13/Tpx2/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Rad51/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Aspm/Mad2l1/Bora/Ncaph2/Cenpk/Kntc1/Fanca/Ncaph/Kifc5b/Ncapd3/Nek2/Rad54b/Cenpx/Mnd1/Ccne1/Anapc1/Mki67/Cdkn1b/Prc1/Mastl/Fancd2/Cit/Anapc4/Prc1/Brca2/Hspa1b/Bmp7/Prdm9/Aurkb/Gen1	54
GO:0051301	GO:0051301	cell division	64/399	338/7982	2.23494867362844e-21	1.26833337228414e-18	1.18530698954014e-18	Ccnb2/Bub1/Cdk1/Ccna2/Ndc80/Cdt1/Cdca3/Kif11/Kif23/Kif20a/Cdc25a/Haus1/Prc1/Vrk1/Tpx2/Birc5/Incenp/Nusap1/Racgap1/Plk1/Cenpc1/Cdc20/Kmt5a/Smc2/Mis12/Numa1/Mis18bp1/Aspm/Mad2l1/Bora/Kntc1/Cks1b/Cenpt/Tipin/Ncaph/Bmi1/Anln/Ncapd3/Nek2/Cenpx/Ccne1/Calm1/Ska3/Anapc1/Ccnf/Prc1/Haus3/Mastl/Ckap2/Cit/Sptbn1/E2f8/Anapc4/Prc1/Dctn1/Brca2/Mcmbp/Rbbp8/Lats1/Hmcn1/Aurkb/Haus4/Ect2/Blm	64
GO:0000819	GO:0000819	sister chromatid segregation	39/399	129/7982	8.00619089311453e-21	3.89443999872214e-18	3.63950602554665e-18	Bub1/Ndc80/Cdt1/Kif23/Prc1/Trip13/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Mad2l1/Ncaph2/Cenpk/Kntc1/Ncaph/Kifc5b/Rmi2/Ncapd3/Fen1/Nek2/Hdac8/Anapc1/Prc1/Cit/Anapc4/Prc1/Mcmbp/Lats1/Aurkb/Gen1	39
GO:0006260	GO:0006260	DNA replication	44/399	171/7982	2.75750707391625e-20	1.1736639483356e-17	1.096834721638e-17	Cdk1/Ccna2/Cdt1/Rrm2/Pclaf/Prim2/Rad51/Gins1/Chaf1a/Mcm4/Orc1/Chaf1b/Rpa2/Nasp/Dscc1/Gins3/Mcm7/Pcna/Pole2/Mcm3/Pold2/Tipin/Tk2/Rmi2/Rfc3/Fen1/Cenpx/Ccne1/Pold1/Mcm6/Rrm1/Rfc4/Polb/E2f8/Orc2/Orc4/Brca2/Pola1/Mcmbp/Dbf4/Traip/Mcm6/Gen1/Blm	44
GO:0048285	GO:0048285	organelle fission	55/399	275/7982	1.42080198334341e-19	5.37536750364923e-17	5.0234905212247e-17	Ccnb2/Bub1/Ndc80/Cdt1/Chek1/Kif11/Kif23/Prc1/Trip13/Tpx2/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Rad51/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Aspm/Mad2l1/Bora/Ncaph2/Cenpk/Kntc1/Fanca/Ncaph/Kifc5b/Ncapd3/Nek2/Rad54b/Cenpx/Mnd1/Ccne1/Anapc1/Mki67/Cdkn1b/Prc1/Mastl/Fancd2/Cit/Anapc4/Prc1/Brca2/Hspa1b/Bmp7/Inf2/Prdm9/Aurkb/Gen1	55
GO:0140014	GO:0140014	mitotic nuclear division	42/399	168/7982	6.83297437000232e-19	2.32662777298579e-16	2.17432437058074e-16	Bub1/Ndc80/Cdt1/Chek1/Kif11/Kif23/Prc1/Trip13/Tpx2/Birc5/Incenp/Ncapg/Nusap1/Racgap1/Plk1/Kif18a/Cenpc1/Cdc20/Smc2/Mis12/Numa1/Dscc1/Mad2l1/Bora/Ncaph2/Cenpk/Kntc1/Ncaph/Kifc5b/Ncapd3/Nek2/Anapc1/Mki67/Cdkn1b/Prc1/Cit/Anapc4/Prc1/Hspa1b/Bmp7/Aurkb/Gen1	42
