ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000793	GO:0000793	condensed chromosome	35/396	143/8052	8.18316422490487e-16	2.92138962829104e-13	2.54970169533878e-13	Bub1/Cbx5/Ndc80/Cdt1/Chek1/Cenph/Cenpf/Birc5/Incenp/Ncapg/Rad51/Plk1/Kif18a/Cenpc1/Hmgb2/Smc2/Mis12/Mad2l1/Ncaph2/Cenpk/Kntc1/Cenpt/Ncapd3/Nek2/Cenpx/Ska3/Mki67/Fancd2/Polb/Orc2/Dctn1/Brca2/Cenpi/Aurkb/Blm	35
GO:0098687	GO:0098687	chromosomal region	39/396	184/8052	3.14068912604696e-15	5.60613008999382e-13	4.89286305952579e-13	Bub1/Cbx5/Ndc80/Cdt1/Chek1/Cenph/Cenpf/Birc5/Incenp/Ncapg/Rad51/Plk1/Kif18a/Cenpc1/Orc1/Mis12/Rpa2/Dnmt1/Mis18bp1/Dscc1/Mad2l1/Cenpk/Kntc1/Cenpt/Ncapd3/Fen1/Nek2/Cenpx/Pold1/Ska3/Mki67/Cenpl/Orc2/Orc4/Dctn1/Brca2/Cenpi/Aurkb/Blm	39
GO:0000775	GO:0000775	chromosome, centromeric region	30/396	116/8052	2.08401995722436e-14	2.47998374909699e-12	2.1644558152225e-12	Bub1/Cbx5/Ndc80/Cdt1/Cenph/Cenpf/Birc5/Incenp/Ncapg/Plk1/Kif18a/Cenpc1/Mis12/Dnmt1/Mis18bp1/Dscc1/Mad2l1/Cenpk/Kntc1/Cenpt/Ncapd3/Nek2/Cenpx/Ska3/Mki67/Cenpl/Orc2/Dctn1/Cenpi/Aurkb	30
GO:0000779	GO:0000779	condensed chromosome, centromeric region	25/396	83/8052	7.28862287030955e-14	6.50509591175128e-12	5.67745360424113e-12	Bub1/Cbx5/Ndc80/Cdt1/Cenph/Cenpf/Birc5/Incenp/Ncapg/Plk1/Kif18a/Cenpc1/Mis12/Mad2l1/Cenpk/Kntc1/Cenpt/Ncapd3/Nek2/Cenpx/Ska3/Orc2/Dctn1/Cenpi/Aurkb	25
GO:0000776	GO:0000776	kinetochore	24/396	80/8052	2.57791475205972e-13	1.84063113297064e-11	1.60644792970458e-11	Bub1/Cbx5/Ndc80/Cdt1/Cenph/Cenpf/Birc5/Incenp/Plk1/Kif18a/Cenpc1/Mis12/Mad2l1/Cenpk/Kntc1/Cenpt/Ncapd3/Nek2/Cenpx/Ska3/Orc2/Dctn1/Cenpi/Aurkb	24
GO:0072686	GO:0072686	mitotic spindle	23/396	98/8052	2.10936145552317e-10	1.12762939984557e-08	9.84161292508593e-09	Cdk1/Kif11/Kif23/Haus1/Prc1/Tpx2/Nusap1/Racgap1/Plk1/Kif18a/Numa1/Aspm/Mad2l1/Kifc5b/Ska3/Prc1/Haus3/Prc1/Haus6/Dctn1/Aurkb/Haus4/Ect2	23
GO:0005819	GO:0005819	spindle	33/396	193/8052	2.21103803891289e-10	1.12762939984557e-08	9.84161292508593e-09	Cdk1/Kif11/Kif23/Kif20a/Haus1/Prc1/Cenpf/Tpx2/Birc5/Incenp/Nusap1/Racgap1/Plk1/Kif18a/Numa1/Aspm/Mad2l1/Bora/Kntc1/Kifc5b/Nek2/Calm1/Ska3/Prc1/Haus3/Polb/Prc1/Haus6/Dctn1/Lats1/Aurkb/Haus4/Ect2	33
GO:0005876	GO:0005876	spindle microtubule	15/396	41/8052	3.59268907859046e-10	1.60323750132099e-08	1.39925785166155e-08	Cdk1/Kif11/Haus1/Birc5/Plk1/Kif18a/Numa1/Kntc1/Calm1/Ska3/Haus3/Polb/Haus6/Aurkb/Haus4	15
GO:0005615	GO:0005615	extracellular space	52/396	428/8052	7.38850119474394e-10	2.93077214058176e-08	2.55789047209849e-08	Pnliprp1/Amy1/Ctrl/Cpa2/Chia1/Klk8/Amy2a5/Cd109/Pcsk9/Cela2a/Hmgb2/Col12a1/Fkrp/Mmp9/Nudt1/Myoc/Bsph1/Fabp5/Dag1/Lipg/Glipr1l1/Klkb1/Cpb1/Svep1/Col11a1/Igfals/Prss21/Akr1b3/Thbs1/Lama1/Scnn1b/Wfikkn2/Cela3b/Mif/Smpd1/Lrrc15/Hpgd/Fabp3/Frzb/F11/Moxd1/Col22a1/Mmp19/Spink1/Bmp7/Dnajb11/Acp5/Apod/Colec10/Tgfbr3/Hspa8/Cpa1	52
GO:0000228	GO:0000228	nuclear chromosome	24/396	122/8052	3.94856832153226e-09	1.40963889078702e-07	1.23029076123531e-07	Chek1/Birc5/Incenp/Prim2/Rad51/Plk1/Gins1/Orc1/Smc2/Rpa2/Gins3/Pcna/Pole2/Pold2/Tipin/H4c8/Nek2/Pold1/Polb/Orc2/Orc4/Brca2/Pola1/Blm	24
GO:0005874	GO:0005874	microtubule	33/396	230/8052	2.19094408397691e-08	7.1106094361796e-07	6.20592774025995e-07	Cdk1/Kif11/Kif23/Kif4/Kif20a/Haus1/Prc1/Tpx2/Birc5/Incenp/Nusap1/Plk1/Kif18a/Numa1/Aspm/Kntc1/Kifc5b/Nek2/Calm1/Ska3/Prc1/Haus3/Ckap2/Polb/Tuba1a/Prc1/Dynll2/Haus6/Dctn1/Tuba3a/Aurkb/Haus4/Hspa8	33
