ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0017116	GO:0017116	single-stranded DNA helicase activity	9/398	22/7956	4.98906045229066e-07	0.00028287972764488	0.000263632457584201	Rad51/Mcm4/Dscc1/Mcm7/Mcm3/Rfc3/Mcm6/Rfc4/Mcm6	9
GO:0008017	GO:0008017	microtubule binding	20/398	130/7956	6.16907240012055e-06	0.00174893202543418	0.00162993386571606	Kif11/Kif23/Kif4/Kif20a/Prc1/Tpx2/Birc5/Nusap1/Racgap1/Plk1/Kif18a/Numa1/Kifc5b/Prc1/Polb/Prc1/Haus6/Dctn1/Cryab/Haus4	20
GO:0004252	GO:0004252	serine-type endopeptidase activity	12/398	58/7956	2.28392666744485e-05	0.00419469766815413	0.00390928846080641	Ctrl/Klk8/Pcsk9/Cela2a/Ctrb1/Gzmm/Mmp9/Klkb1/Prss21/Cela3b/F11/Prss12	12
GO:0008236	GO:0008236	serine-type peptidase activity	13/398	70/7956	3.54063266232146e-05	0.00419469766815413	0.00390928846080641	Ctrl/Klk8/Pcsk9/Cela2a/Ctrb1/Gzmm/Mmp9/Klkb1/Scpep1/Prss21/Cela3b/F11/Prss12	13
GO:0015631	GO:0015631	tubulin binding	24/398	195/7956	3.69902792606184e-05	0.00419469766815413	0.00390928846080641	Kif11/Kif23/Kif4/Kif20a/Prc1/Tpx2/Birc5/Nusap1/Racgap1/Plk1/Kif18a/Numa1/Kifc5b/Dag1/Prc1/Polb/Prc1/Haus6/Cep70/Dctn1/Brca2/Pak1/Cryab/Haus4	24
GO:0017171	GO:0017171	serine hydrolase activity	13/398	75/7956	7.51931966532457e-05	0.00710575708373172	0.00662227802104024	Ctrl/Klk8/Pcsk9/Cela2a/Ctrb1/Gzmm/Mmp9/Klkb1/Scpep1/Prss21/Cela3b/F11/Prss12	13
GO:0003682	GO:0003682	chromatin binding	31/398	300/7956	8.94848810893317e-05	0.00724827536823587	0.00675509929426233	Ascl1/Cdk1/Cbx5/Cdt1/Pclaf/Vrk1/H2az1/Rad51/H3c14/Hes1/Orc1/Smc2/Dnmt1/Snai2/Pcna/Ncaph2/Ncaph/Kdm3b/Bmi1/Glyr1/Ncapd3/Hdac8/Pold1/Neurog3/Svep1/Cbx7/Ube2t/Pola1/Mcmbp/Camta2/Prdm14	31
GO:0140097	GO:0140097	catalytic activity, acting on DNA	20/398	159/7956	0.00012135266799639	0.00860087034424416	0.00801566307028789	Rad51/Mcm4/Dnmt1/Dscc1/Mcm7/Pcna/Mcm3/Rfc3/Fen1/Rad54b/Pold1/Mcm6/Rfc4/Polb/Ung/Pola1/Rbbp8/Mcm6/Gen1/Blm	20
GO:0003697	GO:0003697	single-stranded DNA binding	13/398	83/7956	0.000218316340616543	0.0137539294588422	0.0128181056128076	Rad51/Mcm4/Smc2/Rpa2/Mcm7/Mcm3/Nup35/Mcm6/Brca2/Pola1/Rbbp8/Mcm6/Blm	13
GO:0008201	GO:0008201	heparin binding	10/398	53/7956	0.000246947670817981	0.0140019329353795	0.0130492348158554	Bsph1/Lipg/Col11a1/Igfals/Eva1c/Thbs1/F11/Bmp7/Tgfbr3/Fgfr4	10
GO:0003678	GO:0003678	DNA helicase activity	10/398	58/7956	0.000528484528297553	0.0272409752313375	0.025387486431136	Rad51/Mcm4/Dscc1/Mcm7/Mcm3/Rfc3/Mcm6/Rfc4/Mcm6/Blm	10
GO:0005539	GO:0005539	glycosaminoglycan binding	12/398	84/7956	0.000891700320997459	0.0410301929160514	0.0382384792422869	Hmmr/Bsph1/Lipg/Col11a1/Igfals/Eva1c/Thbs1/Pglyrp3/F11/Bmp7/Tgfbr3/Fgfr4	12
GO:0016538	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	6/398	24/7956	0.000940727527175782	0.0410301929160514	0.0382384792422869	Ccnb2/Ccna2/Cks1b/Ccne1/Ccnf/Cdkn1b	6
GO:0002162	GO:0002162	dystroglycan binding	4/398	10/7956	0.00101808508051364	0.0412324457608022	0.0384269707081086	Fkrp/Dag1/Vcl/Dmd	4
