"","DMSO_1dpa_rep1","DMSO_1dpa_rep2","DMSO_1dpa_rep3","median_DMSO_1dpa"
"PladumEVm000001",163.299,123.416,149.933,149.933
"PladumEVm000003",18.898,16.859,27.589,18.898
"PladumEVm000006",56.088,44.135,64.416,56.088
"PladumEVm000010",24.313,19.122,25.7,24.313
"PladumEVm000011",45.635,35.037,53.792,45.635
"PladumEVm000015",17.43,10.223,16.127,16.127
"PladumEVm000023",23.049,22.573,38.596,23.049
"PladumEVm000025",24.604,22.276,38.453,24.604
"PladumEVm000032",66.145,37.67,73.421,66.145
"PladumEVm000034",10.712,9.225,13.996,10.712
"PladumEVm000035",18.993,12.237,21.079,18.993
"PladumEVm000037",13.152,8.662,15.125,13.152
"PladumEVm000038",15.299,10.693,18.537,15.299
"PladumEVm000046",22.854,14.603,23.364,22.854
"PladumEVm000050",166.582,135.2,200.313,166.582
"PladumEVm000051",19.078,12.594,18.027,18.027
"PladumEVm000055",17.918,15.651,21.661,17.918
"PladumEVm000057",116.804,86.453,125.085,116.804
"PladumEVm000066",120.305,95.181,109.889,109.889
"PladumEVm000067",26.556,35.436,28.829,28.829
"PladumEVm000070",43.953,32.952,42.745,42.745
"PladumEVm000080",25.849,22.882,34.066,25.849
"PladumEVm000083",35.892,25.644,35.811,35.811
"PladumEVm000091",37.978,26.461,44.105,37.978
"PladumEVm000092",26.588,21.725,23.438,23.438
"PladumEVm000093",17.708,16.078,15.265,16.078
"PladumEVm000096",21.907,16.775,21.245,21.245
"PladumEVm000099",14.66,12.259,20.892,14.66
"PladumEVm000100",12.214,8.244,12.082,12.082
"PladumEVm000101",18.886,20.863,23.757,20.863
"PladumEVm000102",17.834,21.296,21.938,21.296
"PladumEVm000103",46.198,32.638,52.132,46.198
"PladumEVm000105",29.628,23.733,36.606,29.628
"PladumEVm000106",20.833,16.61,24.5,20.833
"PladumEVm000117",53.986,33.437,51.35,51.35
"PladumEVm000118",11.884,8.22,11.247,11.247
"PladumEVm000120",19.792,18.801,24.852,19.792
"PladumEVm000121",15.834,10.299,15.805,15.805
"PladumEVm000122",19.832,14.796,22.291,19.832
"PladumEVm000136",10.714,7.342,10.806,10.714
"PladumEVm000147",11.87,7.204,14.335,11.87
"PladumEVm000150",10.846,7.798,10.192,10.192
"PladumEVm000153",25.174,17.383,24.679,24.679
"PladumEVm000154",184.575,184.381,208.178,184.575
"PladumEVm000159",16.991,11.895,17.663,16.991
"PladumEVm000163",158.466,145.662,149.28,149.28
"PladumEVm000169",15.055,11.155,14.968,14.968
"PladumEVm000178",12.674,7.168,13.64,12.674
"PladumEVm000180",11.809,7.452,10.722,10.722
"PladumEVm000188",16.068,11.696,16.451,16.068
"PladumEVm000191",48.999,42.007,59.184,48.999
"PladumEVm000195",26.459,16.299,26.556,26.459
"PladumEVm000198",19.209,18.755,31.111,19.209
"PladumEVm000201",33.835,29.433,33.472,33.472
"PladumEVm000202",20.72,18.682,21.86,20.72
"PladumEVm000203",17.374,9.41,15.172,15.172
"PladumEVm000206",52.731,54.433,77.816,54.433
"PladumEVm000213",25.205,21.346,27.988,25.205
"PladumEVm000219",26.042,20.048,29.032,26.042
"PladumEVm000223",51.314,30.29,47.674,47.674
"PladumEVm000228",38.152,27.67,34.61,34.61
"PladumEVm000230",51.388,42.291,51.233,51.233
"PladumEVm000231",260.917,282.342,303.71,282.342
"PladumEVm000235",27.611,21.635,29.898,27.611
"PladumEVm000241",48.016,35.852,45.054,45.054
"PladumEVm000243",31.274,24.344,33.465,31.274
"PladumEVm000246",39.954,32.66,54.53,39.954
"PladumEVm000252",12.325,9.315,14.794,12.325
"PladumEVm000259",10.891,9.256,10.494,10.494
"PladumEVm000268",25.909,19.09,27.795,25.909
"PladumEVm000270",34.62,21.803,30.537,30.537
"PladumEVm000273",15.026,11.413,17.286,15.026
"PladumEVm000283",23.515,16.061,26.996,23.515
"PladumEVm000284",25.034,16.285,24.737,24.737
"PladumEVm000296",10.993,15.952,16.03,15.952
"PladumEVm000302",18.159,10.961,14.47,14.47
"PladumEVm000304",38.358,25.604,44.533,38.358
"PladumEVm000310",56.452,36.056,57.201,56.452
"PladumEVm000313",19.711,14.231,19.27,19.27
"PladumEVm000319",20.925,21.546,18.82,20.925
"PladumEVm000323",20.042,12.177,16.741,16.741
"PladumEVm000326",10.06,11.73,14.038,11.73
"PladumEVm000334",26.769,22.336,26.263,26.263
"PladumEVm000336",15.736,7.101,12.581,12.581
"PladumEVm000340",27.264,20.135,29.361,27.264
"PladumEVm000348",26.536,21.339,31.899,26.536
"PladumEVm000353",27.922,29.951,36.061,29.951
"PladumEVm000359",16.708,13.221,15.071,15.071
"PladumEVm000368",12.933,10.4,14.387,12.933
"PladumEVm000375",17.722,13.404,18.671,17.722
"PladumEVm000376",20.495,13.207,20.245,20.245
"PladumEVm000378",13.49,7.182,13.146,13.146
"PladumEVm000379",25.763,24.187,30.52,25.763
"PladumEVm000387",35.704,32.903,46.67,35.704
"PladumEVm000389",65.306,54.653,58.451,58.451
"PladumEVm000392",13.57,9.465,15.235,13.57
"PladumEVm000395",13.479,10.353,14.655,13.479
"PladumEVm000402",11.39,9.446,14.79,11.39
"PladumEVm000404",58.112,43.057,57.693,57.693
"PladumEVm000406",12.363,9.456,13.762,12.363
"PladumEVm000411",23.807,15.531,25.026,23.807
"PladumEVm000415",48.051,35.017,53.912,48.051
"PladumEVm000420",20.554,22.097,26.642,22.097
"PladumEVm000421",29.103,24.381,25.244,25.244
"PladumEVm000422",27.15,20.655,29.259,27.15
"PladumEVm000424",12.009,11.551,13.732,12.009
"PladumEVm000431",20.887,13.986,27.238,20.887
"PladumEVm000438",47.36,46.09,52.228,47.36
"PladumEVm000442",10.544,14.977,23.843,14.977
"PladumEVm000449",22.692,19.133,25.19,22.692
"PladumEVm000450",10.739,7.005,11.886,10.739
"PladumEVm000451",21.229,11.7,19.866,19.866
