"X.."	"X.logFC."	"X.logCPM."	"X.LR."	"X.PValue."	"X.FDR."	"Mouse"	"Human"	"Drosophila"	"Aplysia.clifornica"	"Saccoglossus.kowalevskii"	"Cluster"
"PladumEVm046291"	"PladumEVm046291"	1.78761877244638	4.14085478685991	55.6367383011304	8.71790665723962e-14	9.40107841658318e-12	"tr|A0A140LHR3|A0A140LHR3_MOUSE Microsomal signal peptidase 25 kDa subunit OS=Mus musculus OX=10090 GN=Spcs2 PE=1 SV=1"	"NP_055567.2 signal peptidase complex subunit 2 [Homo sapiens]"	"gi|24641313|ref|NP_572723.1| spase 25-subunit, isoform A [Drosophila melanogaster]"	"XP_005106146.1 probable signal peptidase complex subunit 2 isoform X2 [Aplysia californica]"	"XP_002742273.2 PREDICTED: probable signal peptidase complex subunit 2-like isoform X1 [Saccoglossus kowalevskii]"	0
"PladumEVm015069"	"PladumEVm015069"	1.93559639346419	4.21187078871867	54.2805713399233	1.7381186879653e-13	1.81705719270029e-11	"sp|Q64459|CP3AB_MOUSE Cytochrome P450 3A11 OS=Mus musculus OX=10090 GN=Cyp3a11 PE=1 SV=1"	"NP_001189784.1 cytochrome P450 3A4 isoform 2 [Homo sapiens]"	"gi|665399554|ref|NP_610389.3| Cyp6a14, isoform C, partial [Drosophila melanogaster]"	"XP_012945993.1 cytochrome P450 3A16 [Aplysia californica]"	"XP_006823962.1 PREDICTED: cytochrome P450 3A29-like [Saccoglossus kowalevskii]"	0
"PladumEVm015714"	"PladumEVm015714"	1.89142401808785	4.07071966415564	50.0159871058825	1.52498413298847e-12	1.45180982622573e-10	"tr|A0A0R4IZY2|A0A0R4IZY2_MOUSE Cytochrome P450 2D26 OS=Mus musculus OX=10090 GN=Cyp2d26 PE=1 SV=1"	"NP_898898.1 cytochrome P450 2U1 [Homo sapiens]"	"gi|24643092|ref|NP_728191.1| cytochrome P450-18a1, isoform A [Drosophila melanogaster]"	"XP_005096749.2 vitamin D 25-hydroxylase [Aplysia californica]"	"XP_002740465.1 PREDICTED: cytochrome P450 2U1-like [Saccoglossus kowalevskii]"	0
"PladumEVm040537"	"PladumEVm040537"	-1.61599004770538	8.27655621464838	48.4029742987511	3.47041430792961e-12	3.19086330275665e-10	"."	"."	"."	"XP_012938959.1 uncharacterized protein LOC101860900 [Aplysia californica]"	"XP_002732744.1 PREDICTED: ependymin-related protein 1-like [Saccoglossus kowalevskii]"	2
"PladumEVm003676"	"PladumEVm003676"	1.71462478256101	6.8007939869063	47.4292365697099	5.70257846985891e-12	5.14838214879588e-10	"tr|E9Q6A6|E9Q6A6_MOUSE Collagen alpha-6(VI) chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2"	"XP_016861204.1 collagen alpha-6(VI) chain isoform X3 [Homo sapiens]"	"gi|45549234|ref|NP_524527.3| serrate, isoform A [Drosophila melanogaster]"	"XP_035828416.1 collagen alpha-3(VI) chain-like [Aplysia californica]"	"XP_006819199.1 PREDICTED: neurogenic locus Notch protein-like [Saccoglossus kowalevskii]"	3
"PladumEVm012765"	"PladumEVm012765"	1.9822978845353	5.06797126466117	47.0103258177509	7.06136941662391e-12	6.2777909935731e-10	"."	"."	"."	"."	"."	4
"PladumEVm044912"	"PladumEVm044912"	1.62929228600319	3.21766434705807	46.9173664926165	7.4043680524585e-12	6.53285897436484e-10	"sp|P35295|RAB20_MOUSE Ras-related protein Rab-20 OS=Mus musculus OX=10090 GN=Rab20 PE=2 SV=2"	"NP_060287.1 ras-related protein Rab-20 [Homo sapiens]"	"gi|17865835|ref|NP_524472.1| Rab7, isoform A [Drosophila melanogaster]"	"XP_005103568.1 ras-related protein Rab-20 [Aplysia californica]"	"XP_002730555.1 PREDICTED: ras-related protein Rab-20-like [Saccoglossus kowalevskii]"	8
"PladumEVm010674"	"PladumEVm010674"	1.70315623875637	3.44068367426581	45.7541185851903	1.3406717710542e-11	1.15090248179024e-09	"."	"."	"."	"."	"XP_006825711.1 PREDICTED: dynein heavy chain-like [Saccoglossus kowalevskii]"	2
"PladumEVm039413"	"PladumEVm039413"	1.65158616424535	3.74947494883161	45.6898801325136	1.38536647146634e-11	1.18345523585727e-09	"sp|P24472|GSTA4_MOUSE Glutathione S-transferase A4 OS=Mus musculus OX=10090 GN=Gsta4 PE=1 SV=3"	"NP_714543.1 glutathione S-transferase A5 [Homo sapiens]"	"gi|24654347|ref|NP_725653.1| glutathione S transferase S1, isoform A [Drosophila melanogaster]"	"XP_005112476.2 glutathione S-transferase alpha-5 [Aplysia californica]"	"XP_006813791.1 PREDICTED: glutathione S-transferase A4-like [Saccoglossus kowalevskii]"	0
"PladumEVm042848"	"PladumEVm042848"	1.61976440414096	4.03792932553211	45.5517770911944	1.4865674812977e-11	1.26372703720341e-09	"sp|Q9BCZ4|SELS_MOUSE Selenoprotein S OS=Mus musculus OX=10090 GN=Selenos PE=1 SV=3"	"NP_060915.2 selenoprotein S isoform 1 [Homo sapiens]"	"."	"XP_012935437.1 selenoprotein S [Aplysia californica]"	"XP_002738710.1 PREDICTED: selenoprotein S-like [Saccoglossus kowalevskii]"	0
"PladumEVm011603"	"PladumEVm011603"	1.6809246890772	2.83435481844144	45.0568992155754	1.91391778189603e-11	1.61522641018516e-09	"tr|A0A0R4J1R1|A0A0R4J1R1_MOUSE RING-type E3 ubiquitin transferase OS=Mus musculus OX=10090 GN=Syvn1 PE=1 SV=1"	"XP_011543605.1 E3 ubiquitin-protein ligase synoviolin isoform X1 [Homo sapiens]"	"gi|28571958|ref|NP_651894.3| septin interacting protein 3, isoform A [Drosophila melanogaster]"	"XP_005096740.1 E3 ubiquitin-protein ligase synoviolin B isoform X1 [Aplysia californica]"	"XP_002740241.1 PREDICTED: E3 ubiquitin-protein ligase synoviolin A-like, partial [Saccoglossus kowalevskii]"	0
"PladumEVm011736"	"PladumEVm011736"	1.4569792860477	8.247616640716	41.7882603247026	1.01712294856329e-10	8.05833530608904e-09	"sp|P09103|PDIA1_MOUSE Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2"	"NP_000909.2 protein disulfide-isomerase precursor [Homo sapiens]"	"gi|17647799|ref|NP_524079.1| protein disulfide isomerase, isoform A [Drosophila melanogaster]"	"XP_005104403.2 protein disulfide-isomerase [Aplysia californica]"	"XP_002731648.1 PREDICTED: protein disulfide-isomerase-like [Saccoglossus kowalevskii]"	2
"PladumEVm029243"	"PladumEVm029243"	1.69735506609545	4.42739407034849	40.7536709139979	1.72678756473315e-10	1.32018010337443e-08	"sp|Q9CX00|IST1_MOUSE IST1 homolog OS=Mus musculus OX=10090 GN=Ist1 PE=1 SV=1"	"NP_001257906.1 IST1 homolog isoform d [Homo sapiens]"	"gi|442630613|ref|NP_001261487.1| uncharacterized protein Dmel_CG10103, isoform F [Drosophila melanogaster]"	"XP_012945750.1 IST1 homolog [Aplysia californica]"	"XP_006817405.1 PREDICTED: IST1 homolog isoform X2 [Saccoglossus kowalevskii]"	0
"PladumEVm025965"	"PladumEVm025965"	-1.75018843178854	4.85431612074292	40.4711806869979	1.9953759305512e-10	1.50575463579975e-08	"tr|A0A0J9YU20|A0A0J9YU20_MOUSE Fibroblast growth factor receptor 3 (Fragment) OS=Mus musculus OX=10090 GN=Fgfr3 PE=4 SV=3"	"."	"."	"."	"."	7
"PladumEVm001492"	"PladumEVm001492"	1.71351708408879	3.28519762122555	39.6820760020945	2.98855746937331e-10	2.18349792608667e-08	"tr|J3QNN4|J3QNN4_MOUSE Ankyrin repeat domain 66 OS=Mus musculus OX=10090 GN=Ankrd66 PE=4 SV=1"	"NP_001155907.3 ankyrin repeat domain-containing protein 66 [Homo sapiens]"	"gi|21356741|ref|NP_651410.1| tankyrase, isoform A [Drosophila melanogaster]"	"XP_012942565.1 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A [Aplysia californica]"	"XP_006812539.1 PREDICTED: segmentation polarity homeobox protein engrailed-like [Saccoglossus kowalevskii]"	0
"PladumEVm006295"	"PladumEVm006295"	1.58370412707036	4.24809778153096	39.5757972333071	3.15570112481198e-10	2.28275448446803e-08	"."	"."	"."	"XP_005089421.2 circularly permutated Ras protein 1 [Aplysia californica]"	"XP_006821799.1 PREDICTED: circularly permutated Ras protein 1-like [Saccoglossus kowalevskii]"	8
"PladumEVm015558"	"PladumEVm015558"	1.50498198408318	7.30405641792947	39.565181569191	3.17290195719553e-10	2.29045498930691e-08	"tr|A2A8W8|A2A8W8_MOUSE MAP kinase-interacting serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Mknk1 PE=1 SV=1"	"XP_006711065.1 MAP kinase-interacting serine/threonine-protein kinase 1 isoform X3 [Homo sapiens]"	"gi|24646075|ref|NP_731624.1| Lk6 kinase, isoform B [Drosophila melanogaster]"	"NP_001191613.1 Mnk [Aplysia californica]"	"XP_006815781.1 PREDICTED: LOW QUALITY PROTEIN: MAP kinase-interacting serine/threonine-protein kinase 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm009877"	"PladumEVm009877"	1.68019749346305	3.69567508265504	38.8797591760319	4.50729951926661e-10	3.18786513975013e-08	"sp|Q7TMS5|ABCG2_MOUSE Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 GN=Abcg2 PE=1 SV=1"	"NP_997510.1 ATP-binding cassette sub-family G member 1 isoform 5 [Homo sapiens]"	"gi|17136592|ref|NP_476787.1| white [Drosophila melanogaster]"	"XP_012938369.1 ABC transporter G family member 21 [Aplysia californica]"	"XP_006818006.1 PREDICTED: ABC transporter G family member 14-like [Saccoglossus kowalevskii]"	2
"PladumEVm032163"	"PladumEVm032163"	1.52462259294573	4.41371822354283	38.0578693296047	6.86771611794786e-10	4.7421172617585e-08	"sp|Q9JJ00|PLS1_MOUSE Phospholipid scramblase 1 OS=Mus musculus OX=10090 GN=Plscr1 PE=1 SV=1"	"NP_001350801.1 phospholipid scramblase 1 isoform 2 [Homo sapiens]"	"gi|24662171|ref|NP_729601.1| scramblase 1, isoform B [Drosophila melanogaster]"	"XP_005095133.1 phospholipid scramblase 1 [Aplysia californica]"	"XP_006813280.1 PREDICTED: phospholipid scramblase 2-like [Saccoglossus kowalevskii]"	6
"PladumEVm013676"	"PladumEVm013676"	1.44136129444474	3.40362428857426	38.0256551745067	6.98204810062942e-10	4.8115538183016e-08	"sp|Q3TPR7|T184C_MOUSE Transmembrane protein 184C OS=Mus musculus OX=10090 GN=Tmem184c PE=2 SV=1"	"NP_060711.2 transmembrane protein 184C [Homo sapiens]"	"gi|386769389|ref|NP_001245956.1| CG5850, isoform E [Drosophila melanogaster]"	"XP_005097346.1 transmembrane protein 184C [Aplysia californica]"	"XP_006815588.1 PREDICTED: LOW QUALITY PROTEIN: transmembrane protein 184C-like [Saccoglossus kowalevskii]"	0
"PladumEVm028076"	"PladumEVm028076"	1.51978735489574	4.0691509065159	37.9430906369769	7.28385689371535e-10	5.00965897656536e-08	"sp|P54116|STOM_MOUSE Stomatin OS=Mus musculus OX=10090 GN=Stom PE=1 SV=3"	"NP_004090.4 erythrocyte band 7 integral membrane protein isoform a [Homo sapiens]"	"gi|45556022|ref|NP_996512.1| uncharacterized protein Dmel_CG33253, isoform A [Drosophila melanogaster]"	"XP_012946744.1 band 7 protein AGAP004871 [Aplysia californica]"	"NP_001161585.1 MEC2-like protein [Saccoglossus kowalevskii]"	2
"PladumEVm014336"	"PladumEVm014336"	1.4212406787115	3.13828910998101	37.3982929948721	9.63063819335684e-10	6.52102457049796e-08	"tr|D6RI60|D6RI60_MOUSE Adhesion G protein-coupled receptor L1 OS=Mus musculus OX=10090 GN=Adgrl1 PE=1 SV=1"	"XP_016883911.1 protein eva-1 homolog C isoform X9 [Homo sapiens]"	"gi|442622917|ref|NP_001260808.1| Calcium-independent receptor for alpha-latrotoxin, isoform J [Drosophila melanogaster]"	"XP_012941593.2 uncharacterized protein LOC101864702 [Aplysia californica]"	"XP_006817735.1 PREDICTED: glycerol-3-phosphate dehydrogenase, mitochondrial-like [Saccoglossus kowalevskii]"	0
"PladumEVm034254"	"PladumEVm034254"	1.64311893643987	5.83914913432586	37.0350076134261	1.16027278743079e-09	7.76604806897401e-08	"sp|Q8R3S2|TSN33_MOUSE Tetraspanin-33 OS=Mus musculus OX=10090 GN=Tspan33 PE=1 SV=1"	"NP_848657.1 tetraspanin-33 [Homo sapiens]"	"gi|24652731|ref|NP_725044.1| tetraspanin 47F [Drosophila melanogaster]"	"XP_005093635.1 CD82 antigen [Aplysia californica]"	"XP_006815755.1 PREDICTED: tetraspanin-18-like [Saccoglossus kowalevskii]"	8
