X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm022248	4.47997537952794	4.68642743818982	280.084195085157	7.19860892302245e-63	2.51512197161481e-58	sp|A2A7Z8|ADCL3_MOUSE Arylacetamide deacetylase-like 3 OS=Mus musculus OX=10090 GN=Aadacl3 PE=3 SV=1	NP_065843.4 neutral cholesterol ester hydrolase 1 isoform b [Homo sapiens]	gi|17737817|ref|NP_524261.1| alpha-Esterase-7 [Drosophila melanogaster]	XP_005106265.2 arylacetamide deacetylase [Aplysia californica]	XP_002734727.1 PREDICTED: neutral cholesterol ester hydrolase 1-like [Saccoglossus kowalevskii]	8
PladumEVm051697	5.3129953664341	4.27628988203858	251.490141683867	1.22907713622544e-56	2.14713630312902e-52	sp|P61205|ARF3_MOUSE ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2	XP_024304740.1 ADP-ribosylation factor 3 isoform X1 [Homo sapiens]	gi|17136866|ref|NP_476955.1| ADP ribosylation factor at 79F, isoform B [Drosophila melanogaster]	XP_012935259.1 ADP-ribosylation factor [Aplysia californica]	XP_002732532.1 PREDICTED: ADP-ribosylation factor 1-like [Saccoglossus kowalevskii]	0
PladumEVm005722	3.04030366648126	3.40469682401621	214.413193535863	1.49650611940337e-48	1.74288091019448e-44	sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	XP_011542437.1 ATP-binding cassette sub-family B member 10, mitochondrial isoform X1 [Homo sapiens]	gi|23397593|ref|NP_569844.2| CG3156 [Drosophila melanogaster]	XP_035829335.1 ABC transporter B family member 25 [Aplysia californica]	XP_006815751.1 PREDICTED: ATP-binding cassette sub-family B member 9 [Saccoglossus kowalevskii]	0
PladumEVm053942	-4.41761291167613	4.61449980505082	212.479819620853	3.95233914538824e-48	3.45226943501799e-44	.	.	.	.	.	8
PladumEVm017982	6.78109439038927	5.11473988422588	211.673205149772	5.92688636945253e-48	3.9740304843727e-44	.	.	.	.	.	0
PladumEVm016437	3.25426394556667	3.18213039686846	211.392474648771	6.82451784717255e-48	3.9740304843727e-44	tr|Q9WV19|Q9WV19_MOUSE Cytochrome P450, family 2, subfamily g, polypeptide 1 OS=Mus musculus OX=10090 GN=Cyp2g1 PE=2 SV=1	NP_000766.2 cytochrome P450 2J2 [Homo sapiens]	gi|24643092|ref|NP_728191.1| cytochrome P450-18a1, isoform A [Drosophila melanogaster]	XP_005112250.2 cytochrome P450 2H1 [Aplysia californica]	XP_002740465.1 PREDICTED: cytochrome P450 2U1-like [Saccoglossus kowalevskii]	0
PladumEVm026805	-3.34262833098437	4.2499069659854	204.725947509932	1.94349272539634e-46	9.70052747608896e-43	sp|Q8VIF2|PRS42_MOUSE Serine protease 42 OS=Mus musculus OX=10090 GN=Prss42 PE=1 SV=1	NP_004123.1 hyaluronan-binding protein 2 isoform 1 preproprotein [Homo sapiens]	gi|386765841|ref|NP_001247121.1| uncharacterized protein Dmel_CG43335 [Drosophila melanogaster]	XP_005103818.1 plasma kallikrein [Aplysia californica]	XP_006819257.1 PREDICTED: CUB and sushi domain-containing protein 1-like [Saccoglossus kowalevskii]	2
PladumEVm040283	3.18188978797512	4.96132909642437	203.19457810404	4.19498429085084e-46	1.83210695172547e-42	sp|P97875|JDP2_MOUSE Jun dimerization protein 2 OS=Mus musculus OX=10090 GN=Jdp2 PE=1 SV=2	XP_016876461.1 jun dimerization protein 2 isoform X2 [Homo sapiens]	.	XP_012935234.1 uncharacterized protein LOC106011146 [Aplysia californica]	XP_006824836.1 PREDICTED: cyclic AMP-dependent transcription factor ATF-3-like [Saccoglossus kowalevskii]	8
PladumEVm013553	4.8532117633802	5.04975316666997	194.133251171058	3.98273340294061e-44	1.54614135961491e-40	sp|P23927|CRYAB_MOUSE Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2	NP_001355175.1 alpha-crystallin B chain isoform 2 [Homo sapiens]	gi|17737499|ref|NP_523827.1| lethal (2) essential for life, isoform A [Drosophila melanogaster]	.	XP_002732724.1 PREDICTED: trichohyalin-like [Saccoglossus kowalevskii]	4
PladumEVm047370	-3.13903577153184	6.3300446917035	182.291834817776	1.53121749781435e-41	5.34992081561357e-38	.	.	.	XP_035829570.1 uncharacterized protein LOC118479062 isoform X13 [Aplysia californica]	XP_006821639.1 PREDICTED: enterin neuropeptides-like [Saccoglossus kowalevskii]	3
