X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm038304	2.77494520597952	1.9697661117675	157.361254645044	4.26787363041185e-36	1.4911523677296e-31	sp|Q02067|ASCL1_MOUSE Achaete-scute homolog 1 OS=Mus musculus OX=10090 GN=Ascl1 PE=1 SV=2	NP_004307.2 achaete-scute homolog 1 [Homo sapiens]	gi|17136304|ref|NP_476623.1| lethal of scute [Drosophila melanogaster]	XP_005093340.1 uncharacterized protein LOC101863728 [Aplysia californica]	NP_001158485.1 achaete-scute-like protein [Saccoglossus kowalevskii]	5
PladumEVm061919	-2.5355344664551	6.18850165102868	148.541825086306	3.61153749988461e-34	6.30917543542342e-30	.	.	.	.	.	2
PladumEVm020447	2.16419639438648	4.23255561735949	133.04667146246	8.83111170756741e-31	1.02850070650233e-26	sp|P30276|CCNB2_MOUSE G2/mitotic-specific cyclin-B2 OS=Mus musculus OX=10090 GN=Ccnb2 PE=1 SV=2	NP_004692.1 G2/mitotic-specific cyclin-B2 [Homo sapiens]	gi|24658593|ref|NP_726247.1| cyclin B, isoform C [Drosophila melanogaster]	XP_005090733.1 G2/mitotic-specific cyclin-B isoform X2 [Aplysia californica]	NP_001158480.1 cyclin B [Saccoglossus kowalevskii]	1
PladumEVm027818	-7.03709669260751	2.19160806602485	121.57471930631	2.86023656093472e-28	2.49834513006245e-24	sp|Q5BKQ4|LIPR1_MOUSE Inactive pancreatic lipase-related protein 1 OS=Mus musculus OX=10090 GN=Pnliprp1 PE=1 SV=2	NP_000927.1 pancreatic triacylglycerol lipase precursor [Homo sapiens]	gi|45549581|ref|NP_573259.2| CG6847, isoform A [Drosophila melanogaster]	XP_012941117.1 pancreatic triacylglycerol lipase [Aplysia californica]	XP_006825445.1 PREDICTED: pancreatic lipase-related protein 2-like [Saccoglossus kowalevskii]	0
PladumEVm000424	1.82391540728085	4.84687871495436	107.111549358999	4.20804560796829e-25	2.94049810993608e-21	.	.	.	XP_012940527.1 uncharacterized protein LOC101857262 [Aplysia californica]	XP_006817045.1 PREDICTED: uncharacterized protein LOC102802346 [Saccoglossus kowalevskii]	11
PladumEVm057626	-2.74954257820486	4.77666507961327	98.5011166190469	3.24841435024171e-23	1.89160581638492e-19	.	.	.	.	.	3
PladumEVm046400	-2.12258682835993	7.15130239820622	93.2629524914734	4.57883172543039e-22	2.28542573792589e-18	.	.	.	.	.	2
PladumEVm095151	1.7467798922886	5.30018907266061	90.2391260587127	2.1104702405328e-21	8.30392675515305e-18	.	.	.	.	.	3
PladumEVm040446	2.92902859567757	1.30671536385986	90.2125373244096	2.13902346364743e-21	8.30392675515305e-18	.	.	.	.	.	1
PladumEVm027205	-5.79438077876036	2.97135165750165	89.2658991016933	3.45157777368424e-21	1.20594675834754e-17	sp|P00687|AMY1_MOUSE Alpha-amylase 1 OS=Mus musculus OX=10090 GN=Amy1 PE=1 SV=2	XP_016856547.1 alpha-amylase 1 isoform X1 [Homo sapiens]	gi|18859631|ref|NP_536346.1| amylase proximal, isoform A [Drosophila melanogaster]	XP_012937452.2 alpha-amylase [Aplysia californica]	XP_002742209.2 PREDICTED: pancreatic alpha-amylase-like [Saccoglossus kowalevskii]	1
PladumEVm071382	-1.94076431230519	5.10792351364709	88.0847086729707	6.27105482208996e-21	1.85718118994255e-17	.	.	.	.	.	6
PladumEVm042103	1.84649003718388	5.16221056011649	88.0510756851041	6.37859534597745e-21	1.85718118994255e-17	tr|Q9CQ43|Q9CQ43_MOUSE Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Mus musculus OX=10090 GN=Dut PE=1 SV=1	NP_001317215.1 deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial isoform 4 [Homo sapiens]	gi|19921126|ref|NP_609479.1| deoxyuridine triphosphatase, isoform A [Drosophila melanogaster]	XP_005100347.1 deoxyuridine 5-triphosphate nucleotidohydrolase [Aplysia californica]	XP_006817345.1 PREDICTED: deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial-like [Saccoglossus kowalevskii]	1
PladumEVm001742	1.9134692085651	2.90363833733217	80.8417362963369	2.44538305622239e-19	6.57224912318108e-16	sp|O08901|BUB1_MOUSE Mitotic checkpoint serine/threonine-protein kinase BUB1 OS=Mus musculus OX=10090 GN=Bub1 PE=1 SV=1	NP_001202.5 mitotic checkpoint serine/threonine-protein kinase BUB1 beta [Homo sapiens]	gi|17137586|ref|NP_477382.1| Bub1-related kinase [Drosophila melanogaster]	XP_005095838.1 mitotic checkpoint serine/threonine-protein kinase BUB1 isoform X2 [Aplysia californica]	XP_002731985.2 PREDICTED: uncharacterized protein LOC100369016 [Saccoglossus kowalevskii]	1
PladumEVm031026	1.7841539634629	5.23167224033191	79.562630017472	4.67178794733226e-19	1.1241146634964e-15	sp|P11440|CDK1_MOUSE Cyclin-dependent kinase 1 OS=Mus musculus OX=10090 GN=Cdk1 PE=1 SV=3	XP_005270360.1 cyclin-dependent kinase 1 isoform X1 [Homo sapiens]	gi|17136606|ref|NP_476797.1| Cyclin-dependent kinase 1 [Drosophila melanogaster]	XP_005111812.2 cyclin-dependent kinase 1 isoform X1 [Aplysia californica]	XP_002737515.1 PREDICTED: cyclin-dependent kinase 1-like [Saccoglossus kowalevskii]	1
PladumEVm054058	1.66103179800506	3.3600184606456	79.4984468897135	4.82604537978935e-19	1.1241146634964e-15	sp|Q61686|CBX5_MOUSE Chromobox protein homolog 5 OS=Mus musculus OX=10090 GN=Cbx5 PE=1 SV=1	NP_036249.1 chromobox protein homolog 5 [Homo sapiens]	gi|17136528|ref|NP_476755.1| suppressor of variegation 205, isoform A [Drosophila melanogaster]	XP_005094443.1 chromodomain Y-like protein 2 isoform X1 [Aplysia californica]	XP_006825184.1 PREDICTED: chromodomain Y-like protein 2-like [Saccoglossus kowalevskii]	1
PladumEVm020342	2.29523362859164	3.4929423610511	76.9435051249415	1.75918905354699e-18	3.8415191463674e-15	sp|P51943|CCNA2_MOUSE Cyclin-A2 OS=Mus musculus OX=10090 GN=Ccna2 PE=1 SV=2	NP_001228.2 cyclin-A2 [Homo sapiens]	gi|24662962|ref|NP_524030.2| cyclin A, isoform A [Drosophila melanogaster]	XP_012944565.1 G2/mitotic-specific cyclin-A [Aplysia californica]	XP_002738046.1 PREDICTED: G2/mitotic-specific cyclin-A-like isoform X1 [Saccoglossus kowalevskii]	1
PladumEVm008943	2.54865914697435	1.55729085335676	76.4738658037164	2.23146592798929e-18	4.58618753282458e-15	sp|Q80SX5|OTOP2_MOUSE Proton channel OTOP2 OS=Mus musculus OX=10090 GN=Otop2 PE=2 SV=1	XP_011523046.1 proton channel OTOP3 isoform X1 [Homo sapiens]	gi|939627787|ref|NP_001303575.1| uncharacterized protein Dmel_CG42265, isoform F [Drosophila melanogaster]	XP_012937494.1 proton channel OtopLc [Aplysia californica]	XP_006819755.1 PREDICTED: otopetrin-2-like [Saccoglossus kowalevskii]	1
PladumEVm098817	-1.80623687143406	6.11111805484473	75.3227314422836	3.99731003326869e-18	7.59570532632828e-15	.	.	.	.	.	0
PladumEVm010655	1.6491192887728	3.20322422346771	75.2579767443871	4.13058190561371e-18	7.59570532632828e-15	sp|Q9D0F1|NDC80_MOUSE Kinetochore protein NDC80 homolog OS=Mus musculus OX=10090 GN=Ndc80 PE=1 SV=1	NP_006092.1 kinetochore protein NDC80 homolog [Homo sapiens]	.	XP_012937749.1 kinetochore protein NDC80 homolog [Aplysia californica]	XP_002733464.1 PREDICTED: kinetochore protein NDC80 homolog, partial [Saccoglossus kowalevskii]	1
PladumEVm062880	-2.32577564150692	5.94777757608854	74.0234856218005	7.71931428518094e-18	1.34852560904968e-14	.	.	.	.	.	2
PladumEVm044890	1.74950974274818	3.14956976353488	73.8531122552285	8.41516224747684e-18	1.40008263697425e-14	sp|Q02067|ASCL1_MOUSE Achaete-scute homolog 1 OS=Mus musculus OX=10090 GN=Ascl1 PE=1 SV=2	NP_004307.2 achaete-scute homolog 1 [Homo sapiens]	gi|17136304|ref|NP_476623.1| lethal of scute [Drosophila melanogaster]	XP_005093340.1 uncharacterized protein LOC101863728 [Aplysia californica]	NP_001158485.1 achaete-scute-like protein [Saccoglossus kowalevskii]	1
PladumEVm033397	1.8383413563397	4.38156545131906	73.5296436085057	9.91360744117491e-18	1.57441604721459e-14	.	.	.	.	.	1
PladumEVm041807	-6.56151560769578	0.684813721737561	72.3732131052495	1.78115299212603e-17	2.70572627790833e-14	sp|Q3V188|ENDOU_MOUSE Poly(U)-specific endoribonuclease OS=Mus musculus OX=10090 GN=Endou PE=2 SV=1	NP_001165911.1 poly(U)-specific endoribonuclease isoform 3 precursor [Homo sapiens]	gi|21357911|ref|NP_650508.1| CG3303 [Drosophila melanogaster]	XP_012940779.1 poly(U)-specific endoribonuclease [Aplysia californica]	XP_002740967.1 PREDICTED: poly(U)-specific endoribonuclease-like [Saccoglossus kowalevskii]	0
PladumEVm041624	2.52703220757331	3.58931735027123	71.7853463611121	2.39927401601991e-17	3.49284311857165e-14	.	.	.	.	.	10
