X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm064304	2.31385718456232	4.65389987956535	132.722963099839	1.03951090877878e-30	3.63194716418216e-26	.	.	.	.	.	1
PladumEVm040446	3.41637385502446	1.30671536385986	104.948518113161	1.25350716905179e-24	2.18981434897503e-20	.	.	.	.	.	1
PladumEVm020447	1.90506648104132	4.23255561735949	102.867749209015	3.58285015570825e-24	4.17270671967635e-20	sp|P30276|CCNB2_MOUSE G2/mitotic-specific cyclin-B2 OS=Mus musculus OX=10090 GN=Ccnb2 PE=1 SV=2	NP_004692.1 G2/mitotic-specific cyclin-B2 [Homo sapiens]	gi|24658593|ref|NP_726247.1| cyclin B, isoform C [Drosophila melanogaster]	XP_005090733.1 G2/mitotic-specific cyclin-B isoform X2 [Aplysia californica]	NP_001158480.1 cyclin B [Saccoglossus kowalevskii]	1
PladumEVm000424	1.73385193190303	4.84687871495436	96.2237396891582	1.02607152515761e-22	8.96247825437043e-19	.	.	.	XP_012940527.1 uncharacterized protein LOC101857262 [Aplysia californica]	XP_006817045.1 PREDICTED: uncharacterized protein LOC102802346 [Saccoglossus kowalevskii]	11
PladumEVm030894	2.7304432944864	4.53518794112172	88.7255631734435	4.53565945761869e-21	2.6915045468807e-17	tr|Q5SQB0|Q5SQB0_MOUSE Nucleophosmin OS=Mus musculus OX=10090 GN=Npm1 PE=1 SV=1	NP_001341938.1 nucleophosmin isoform 5 [Homo sapiens]	gi|17738283|ref|NP_524557.1| nucleoplasmin, isoform A [Drosophila melanogaster]	XP_012935245.1 mitotic apparatus protein p62 [Aplysia californica]	XP_006819440.1 PREDICTED: nucleoplasmin-like protein ANO39-like isoform X2 [Saccoglossus kowalevskii]	5
PladumEVm033969	-2.33484245001133	4.43160864607283	88.6882335228392	4.62206339084811e-21	2.6915045468807e-17	.	.	.	.	.	8
PladumEVm046877	-3.13719338921304	4.9657295048376	88.2088621191599	5.8895450237516e-21	2.93964019406939e-17	.	.	gi|24639820|ref|NP_572209.1| uncharacterized protein Dmel_CG42749, isoform B [Drosophila melanogaster]	XP_005092247.1 uncharacterized protein LOC101851474 [Aplysia californica]	.	6
PladumEVm000115	2.15312556651971	3.33658284562533	78.6984671947532	7.23516859147495e-19	3.15986944271929e-15	tr|E9Q3P4|E9Q3P4_MOUSE Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	XP_011507384.1 centromere protein F isoform X2 [Homo sapiens]	gi|17136292|ref|NP_476617.1| laminin A [Drosophila melanogaster]	XP_005092384.1 uncharacterized protein LOC101861715 [Aplysia californica]	XP_006819292.1 PREDICTED: centromere protein F-like, partial [Saccoglossus kowalevskii]	5
PladumEVm013119	1.96670139512382	3.84454146582271	78.4214344888919	8.32439980824955e-19	3.23162449889368e-15	tr|G5E863|G5E863_MOUSE Glutamate receptor OS=Mus musculus OX=10090 GN=Gria4 PE=1 SV=1	NP_001365930.3 glutamate receptor 2 isoform 3 [Homo sapiens]	gi|17136702|ref|NP_476855.1| glutamate receptor IA [Drosophila melanogaster]	XP_005107294.2 glutamate receptor ionotropic, kainate 4 [Aplysia californica]	XP_002731595.1 PREDICTED: glutamate receptor 3-like [Saccoglossus kowalevskii]	1
PladumEVm075631	9.27596560600786	0.273440691125906	75.1546240671133	4.3525618212651e-18	1.52074157473181e-14	sp|Q60847|COCA1_MOUSE Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3	XP_011533738.1 collagen alpha-1(XII) chain isoform X4 [Homo sapiens]	.	XP_035826306.1 collagen alpha-1(XII) chain [Aplysia californica]	XP_006826065.1 PREDICTED: complement C2-like [Saccoglossus kowalevskii]	0
PladumEVm110092	1.67392860708346	3.80389751532754	73.8016736826943	8.63733347693845e-18	2.74345267591593e-14	.	.	.	.	.	1
PladumEVm112722	1.94854356305093	3.85977618249505	71.3184106481592	3.0398603246234e-17	8.85080665683475e-14	.	.	.	.	.	1
PladumEVm042103	1.64688144370216	5.16221056011649	70.3444425326666	4.98029581020547e-17	1.33851196394438e-13	tr|Q9CQ43|Q9CQ43_MOUSE Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Mus musculus OX=10090 GN=Dut PE=1 SV=1	NP_001317215.1 deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial isoform 4 [Homo sapiens]	gi|19921126|ref|NP_609479.1| deoxyuridine triphosphatase, isoform A [Drosophila melanogaster]	XP_005100347.1 deoxyuridine 5-triphosphate nucleotidohydrolase [Aplysia californica]	XP_006817345.1 PREDICTED: deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial-like [Saccoglossus kowalevskii]	1
PladumEVm044890	1.87802006464963	3.14956976353488	69.9832490811451	5.98102119012704e-17	1.49264928115606e-13	sp|Q02067|ASCL1_MOUSE Achaete-scute homolog 1 OS=Mus musculus OX=10090 GN=Ascl1 PE=1 SV=2	NP_004307.2 achaete-scute homolog 1 [Homo sapiens]	gi|17136304|ref|NP_476623.1| lethal of scute [Drosophila melanogaster]	XP_005093340.1 uncharacterized protein LOC101863728 [Aplysia californica]	NP_001158485.1 achaete-scute-like protein [Saccoglossus kowalevskii]	1
PladumEVm054058	1.59836187849174	3.3600184606456	69.26021638717	8.62927793847055e-17	2.00998894594815e-13	sp|Q61686|CBX5_MOUSE Chromobox protein homolog 5 OS=Mus musculus OX=10090 GN=Cbx5 PE=1 SV=1	NP_036249.1 chromobox protein homolog 5 [Homo sapiens]	gi|17136528|ref|NP_476755.1| suppressor of variegation 205, isoform A [Drosophila melanogaster]	XP_005094443.1 chromodomain Y-like protein 2 isoform X1 [Aplysia californica]	XP_006825184.1 PREDICTED: chromodomain Y-like protein 2-like [Saccoglossus kowalevskii]	1
PladumEVm091096	-3.58561666857056	0.934485637377082	67.4068797946786	2.20876851930502e-16	4.82326020599988e-13	.	.	.	.	.	3
