""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"blastx"	"blastp"	"GOterms"	"kegg"
"PladumEVm022248"	4.47997537952794	4.68642743818982	280.084195085157	7.19860892302245e-63	2.51512197161481e-58	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0005783 GO:0005783 GO:0016021"	" KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:bta:534212 KEGG:bta:534212 KEGG:mmu:230883"
"PladumEVm051697"	5.3129953664341	4.27628988203858	251.490141683867	1.22907713622544e-56	2.14713630312902e-52	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF_DUGJA"	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF1_DICDI"	" GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794"	" KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 . KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:ddi:DDB_G0289173"
"PladumEVm005722"	3.04030366648126	3.40469682401621	214.413193535863	1.49650611940337e-48	1.74288091019448e-44	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" GO:0016021 GO:0016021 GO:0016021"	" KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416"
"PladumEVm053942"	-4.41761291167613	4.61449980505082	212.479819620853	3.95233914538824e-48	3.45226943501799e-44	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . PQT3_ARATH . . . . ."	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . KEGG:ath:AT4G17410 . . . . ."
"PladumEVm017982"	6.78109439038927	5.11473988422588	211.673205149772	5.92688636945253e-48	3.9740304843727e-44	" I23O1_RAT I23O1_RAT I23O1_RAT I23O1_RAT . I23O1_RAT I23O1_RAT"	" . . . . . . ."	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 . GO:0005737 GO:0005737"	" KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 . KEGG:rno:66029 KEGG:rno:66029"
"PladumEVm016437"	3.25426394556667	3.18213039686846	211.392474648771	6.82451784717255e-48	3.9740304843727e-44	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_HUMAN CP2U1_HUMAN CP2G1_RAT"	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_BOVIN CP2U1_BOVIN CP2G1_RAT"	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" KEGG:hsa:1573 KEGG:rno:25251 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:rno:25251 KEGG:rno:25251 KEGG:rno:25251 KEGG:bta:535227 KEGG:bta:535227 KEGG:rno:25251"
"PladumEVm026805"	-3.34262833098437	4.2499069659854	204.725947509932	1.94349272539634e-46	9.70052747608896e-43	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576"	" KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026"
"PladumEVm040283"	3.18188978797512	4.96132909642437	203.19457810404	4.19498429085084e-46	1.83210695172547e-42	" JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN ."	" FOS_TETFL FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TETFL FOS_TETFL ."	" GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 ."	" KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 ."
"PladumEVm013553"	4.8532117633802	5.04975316666997	194.133251171058	3.98273340294061e-44	1.54614135961491e-40	" CRYAA_DIDVI . CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_DIDVI CRYAA_RHEAM"	" . SPEN_DROME . . . . . . . . ."	" GO:0005737 . GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" . KEGG:dme:Dmel_CG18497 . . . . . . . . ."
"PladumEVm047370"	-3.13903577153184	6.3300446917035	182.291834817776	1.53121749781435e-41	5.34992081561357e-38	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . RIC1_DANRE . . . . . . . . . . RIC1_DANRE . . . . . RIC1_DANRE . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
