""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"blastx"	"blastp"	"GOterms"	"kegg"
"PladumEVm053942"	-10.2878943186512	4.61449980505082	510.873971283012	4.09320838083542e-113	1.43012607618009e-108	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . PQT3_ARATH . . . . ."	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . KEGG:ath:AT4G17410 . . . . ."
"PladumEVm061919"	-6.51752434272693	6.18850165102868	485.369002395494	1.45035434411533e-107	2.53369652145228e-103	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."
"PladumEVm022248"	8.07157756391955	4.68642743818982	469.481107794957	4.15607702135715e-104	4.84030583497325e-100	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0005783 GO:0005783 GO:0016021"	" KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:bta:534212 KEGG:bta:534212 KEGG:mmu:230883"
"PladumEVm026805"	-7.26074741724578	4.2499069659854	464.244376249957	5.73126914716007e-103	5.00612031831564e-99	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576"	" KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026"
"PladumEVm051697"	9.63811423986516	4.27628988203858	419.531303693226	3.08648160907688e-93	2.15677161879074e-89	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF_DUGJA"	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF1_DICDI"	" GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794"	" KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 . KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:ddi:DDB_G0289173"
"PladumEVm013553"	9.26379657316894	5.04975316666997	355.700209621378	2.43145582637337e-79	1.41587725196098e-75	" CRYAA_DIDVI . CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_DIDVI CRYAA_RHEAM"	" . SPEN_DROME . . . . . . . . ."	" GO:0005737 . GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" . KEGG:dme:Dmel_CG18497 . . . . . . . . ."
"PladumEVm047370"	-6.0985832056747	6.3300446917035	346.561849719952	2.37605211280763e-77	1.1436853221858e-73	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . RIC1_DANRE . . . . . . . . . . RIC1_DANRE . . . . . RIC1_DANRE . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"PladumEVm017982"	11.7523593053305	5.11473988422588	346.367929438427	2.61870190259778e-77	1.1436853221858e-73	" I23O1_RAT I23O1_RAT I23O1_RAT I23O1_RAT . I23O1_RAT I23O1_RAT"	" . . . . . . ."	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 . GO:0005737 GO:0005737"	" KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 . KEGG:rno:66029 KEGG:rno:66029"
"PladumEVm005722"	5.29160071955531	3.40469682401621	325.422620810368	9.54481433966013e-73	3.70540298014873e-69	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" GO:0016021 GO:0016021 GO:0016021"	" KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416"
"PladumEVm071382"	-5.23459027420187	5.10792351364709	324.930137470788	1.22190027708235e-72	4.26919737809804e-69	" . . . . . . ."	" EST1A_MOUSE . . . EST1A_MOUSE . ."	" . . . . . . ."	" KEGG:mmu:103677 . . . KEGG:mmu:103677 . ."
"PladumEVm045311"	-7.69942220821356	3.58404685765436	318.072014429206	3.80944885218369e-71	1.20998484951315e-67	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm098962"	-5.27300429160922	3.35757420152536	312.845229803396	5.24106456408374e-70	1.52597962337102e-66	" ."	" ."	" ."	" ."
"PladumEVm097343"	-7.33791329484128	3.39129920427296	307.118317856257	9.26806494393048e-69	2.49089939289221e-65	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."
"PladumEVm016437"	5.48342157149923	3.18213039686846	298.52154397041	6.91639444149327e-67	1.72608503850952e-63	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_HUMAN CP2U1_HUMAN CP2G1_RAT"	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_BOVIN CP2U1_BOVIN CP2G1_RAT"	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" KEGG:hsa:1573 KEGG:rno:25251 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:rno:25251 KEGG:rno:25251 KEGG:rno:25251 KEGG:bta:535227 KEGG:bta:535227 KEGG:rno:25251"
"PladumEVm040283"	5.3615056898329	4.96132909642437	298.078765932784	8.63670282386935e-67	2.01171839975448e-63	" JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN ."	" FOS_TETFL FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TETFL FOS_TETFL ."	" GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 ."	" KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 ."
"PladumEVm028923"	6.2964088393068	4.21334752300027	289.290507151192	7.09821298189029e-65	1.55002789608915e-61	" CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL"	" CPNA1_CAEEL CPNA1_CAEEL RGLG4_ARATH CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL"	" GO:0009925 GO:0009925 GO:0009925 . . . GO:0009925 GO:0009925 GO:0009925 GO:0009925 . . GO:0009925"	" KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:ath:AT1G79380 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_F31D5.3"
"PladumEVm015436"	5.02440653716868	4.72630121811875	272.213758486217	3.73626264198011e-61	7.67889884989078e-58	" CP3AP_MOUSE CP3AO_SHEEP CP3AL_CALJA CP9F2_DROME CP3A2_RAT CP3AL_CALJA CP3AL_CALJA CP3AA_MESAU CP3AC_CANLF CP3AS_BOVIN CP3AL_CALJA CP3AP_MOUSE CP3AP_MOUSE CP3AL_CALJA CP3AL_CALJA CP3A8_MACFA CP3AP_MOUSE"	" CP3AO_SHEEP CP3AO_SHEEP CP3AO_SHEEP CP6D3_MUSDO CP3AO_SHEEP CP3AA_MESAU CP3A2_RAT CP3AA_MESAU CP3A2_RAT CP3AS_BOVIN CP3AO_SHEEP CP3AO_SHEEP CP3AO_SHEEP CP3AO_SHEEP CP3AL_CALJA CP3AL_CALJA CP3AO_SHEEP"	" GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789"	" KEGG:oas:100170111 KEGG:oas:100170111 KEGG:oas:100170111 KEGG:mde:101899585 KEGG:oas:100170111 KEGG:cjc:100404344 KEGG:rno:266682 . KEGG:rno:266682 . KEGG:oas:100170111 KEGG:oas:100170111 KEGG:oas:100170111 KEGG:oas:100170111 KEGG:cjc:100404344 KEGG:cjc:100404344 KEGG:oas:100170111"
"PladumEVm070140"	-8.80830441343975	4.74582947024805	260.595051012234	1.27294544310386e-58	2.47085782425588e-55	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm058575"	-4.18099281331621	3.21074433217159	236.175788247685	2.68275977680993e-53	4.93331283378749e-50	" . . . . ."	" . . . . ."	" . . . . ."	" . . . . ."
"PladumEVm085757"	-9.9686019604024	2.42268366379949	235.754549549337	3.31464509713182e-53	5.79051925243443e-50	" . . . ."	" . . . ."	" . . . ."	" . . . ."
