X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm053942	-10.2878943186512	4.61449980505082	510.873971283012	4.09320838083542e-113	1.43012607618009e-108	.	.	.	.	.	8
PladumEVm061919	-6.51752434272693	6.18850165102868	485.369002395494	1.45035434411533e-107	2.53369652145228e-103	.	.	.	.	.	2
PladumEVm022248	8.07157756391955	4.68642743818982	469.481107794957	4.15607702135715e-104	4.84030583497325e-100	sp|A2A7Z8|ADCL3_MOUSE Arylacetamide deacetylase-like 3 OS=Mus musculus OX=10090 GN=Aadacl3 PE=3 SV=1	NP_065843.4 neutral cholesterol ester hydrolase 1 isoform b [Homo sapiens]	gi|17737817|ref|NP_524261.1| alpha-Esterase-7 [Drosophila melanogaster]	XP_005106265.2 arylacetamide deacetylase [Aplysia californica]	XP_002734727.1 PREDICTED: neutral cholesterol ester hydrolase 1-like [Saccoglossus kowalevskii]	8
PladumEVm026805	-7.26074741724578	4.2499069659854	464.244376249957	5.73126914716007e-103	5.00612031831564e-99	sp|Q8VIF2|PRS42_MOUSE Serine protease 42 OS=Mus musculus OX=10090 GN=Prss42 PE=1 SV=1	NP_004123.1 hyaluronan-binding protein 2 isoform 1 preproprotein [Homo sapiens]	gi|386765841|ref|NP_001247121.1| uncharacterized protein Dmel_CG43335 [Drosophila melanogaster]	XP_005103818.1 plasma kallikrein [Aplysia californica]	XP_006819257.1 PREDICTED: CUB and sushi domain-containing protein 1-like [Saccoglossus kowalevskii]	2
PladumEVm051697	9.63811423986516	4.27628988203858	419.531303693226	3.08648160907688e-93	2.15677161879074e-89	sp|P61205|ARF3_MOUSE ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2	XP_024304740.1 ADP-ribosylation factor 3 isoform X1 [Homo sapiens]	gi|17136866|ref|NP_476955.1| ADP ribosylation factor at 79F, isoform B [Drosophila melanogaster]	XP_012935259.1 ADP-ribosylation factor [Aplysia californica]	XP_002732532.1 PREDICTED: ADP-ribosylation factor 1-like [Saccoglossus kowalevskii]	0
PladumEVm013553	9.26379657316894	5.04975316666997	355.700209621378	2.43145582637337e-79	1.41587725196098e-75	sp|P23927|CRYAB_MOUSE Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2	NP_001355175.1 alpha-crystallin B chain isoform 2 [Homo sapiens]	gi|17737499|ref|NP_523827.1| lethal (2) essential for life, isoform A [Drosophila melanogaster]	.	XP_002732724.1 PREDICTED: trichohyalin-like [Saccoglossus kowalevskii]	4
PladumEVm047370	-6.0985832056747	6.3300446917035	346.561849719952	2.37605211280763e-77	1.1436853221858e-73	.	.	.	XP_035829570.1 uncharacterized protein LOC118479062 isoform X13 [Aplysia californica]	XP_006821639.1 PREDICTED: enterin neuropeptides-like [Saccoglossus kowalevskii]	3
PladumEVm017982	11.7523593053305	5.11473988422588	346.367929438427	2.61870190259778e-77	1.1436853221858e-73	.	.	.	.	.	0
PladumEVm005722	5.29160071955531	3.40469682401621	325.422620810368	9.54481433966013e-73	3.70540298014873e-69	sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	XP_011542437.1 ATP-binding cassette sub-family B member 10, mitochondrial isoform X1 [Homo sapiens]	gi|23397593|ref|NP_569844.2| CG3156 [Drosophila melanogaster]	XP_035829335.1 ABC transporter B family member 25 [Aplysia californica]	XP_006815751.1 PREDICTED: ATP-binding cassette sub-family B member 9 [Saccoglossus kowalevskii]	0
PladumEVm071382	-5.23459027420187	5.10792351364709	324.930137470788	1.22190027708235e-72	4.26919737809804e-69	.	.	.	.	.	6
