X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm061919	-4.8331287186622	6.18850165102868	458.627836114969	9.56090018710044e-102	3.34048291637102e-97	.	.	.	.	.	2
PladumEVm053942	-6.4022289341546	4.61449980505082	345.095585564116	4.95640290639066e-77	8.65858805731917e-73	.	.	.	.	.	8
PladumEVm071382	-3.89093832934421	5.10792351364709	318.682923438131	2.80408291819987e-71	3.26572843596617e-67	.	.	.	.	.	6
PladumEVm026805	-3.99890590348663	4.2499069659854	269.015298588932	1.86003903608623e-60	1.62469759704542e-56	sp|Q8VIF2|PRS42_MOUSE Serine protease 42 OS=Mus musculus OX=10090 GN=Prss42 PE=1 SV=1	NP_004123.1 hyaluronan-binding protein 2 isoform 1 preproprotein [Homo sapiens]	gi|386765841|ref|NP_001247121.1| uncharacterized protein Dmel_CG43335 [Drosophila melanogaster]	XP_005103818.1 plasma kallikrein [Aplysia californica]	XP_006819257.1 PREDICTED: CUB and sushi domain-containing protein 1-like [Saccoglossus kowalevskii]	2
PladumEVm058575	-3.18855537825911	3.21074433217159	248.099831703551	6.74061786059508e-56	4.71020894862663e-52	.	.	.	.	.	0
PladumEVm098962	-3.43512260717639	3.35757420152536	241.887563580498	1.52454057988798e-54	8.87765388678438e-51	.	.	.	.	.	0
PladumEVm097343	-4.88360810654415	3.39129920427296	238.753742551101	7.35272231067748e-54	3.66995378303943e-50	.	.	.	.	.	7
PladumEVm047370	-3.52787473657837	6.3300446917035	222.310593196612	2.83397479717269e-50	1.23770306798021e-46	.	.	.	XP_035829570.1 uncharacterized protein LOC118479062 isoform X13 [Aplysia californica]	XP_006821639.1 PREDICTED: enterin neuropeptides-like [Saccoglossus kowalevskii]	3
PladumEVm062880	-4.32005786619275	5.94777757608854	220.772510604717	6.13593347976021e-50	2.38203755388158e-46	.	.	.	.	.	2
PladumEVm070140	-6.15357501384029	4.74582947024805	213.197877542252	2.75552300463602e-48	9.62752182589779e-45	.	.	.	.	.	2
PladumEVm045311	-4.52300087558499	3.58404685765436	204.240041481354	2.48088792325093e-46	7.87997665004221e-43	.	.	.	.	.	3
PladumEVm044890	3.1797303123976	3.14956976353488	199.942120767282	2.15011877066023e-45	6.26024997734148e-42	sp|Q02067|ASCL1_MOUSE Achaete-scute homolog 1 OS=Mus musculus OX=10090 GN=Ascl1 PE=1 SV=2	NP_004307.2 achaete-scute homolog 1 [Homo sapiens]	gi|17136304|ref|NP_476623.1| lethal of scute [Drosophila melanogaster]	XP_005093340.1 uncharacterized protein LOC101863728 [Aplysia californica]	NP_001158485.1 achaete-scute-like protein [Saccoglossus kowalevskii]	1
PladumEVm038304	3.26825668073272	1.9697661117675	192.658717711055	8.35624269385261e-44	2.24583664215782e-40	sp|Q02067|ASCL1_MOUSE Achaete-scute homolog 1 OS=Mus musculus OX=10090 GN=Ascl1 PE=1 SV=2	NP_004307.2 achaete-scute homolog 1 [Homo sapiens]	gi|17136304|ref|NP_476623.1| lethal of scute [Drosophila melanogaster]	XP_005093340.1 uncharacterized protein LOC101863728 [Aplysia californica]	NP_001158485.1 achaete-scute-like protein [Saccoglossus kowalevskii]	5
PladumEVm022248	3.59594618844981	4.68642743818982	191.072224583897	1.85477381387468e-43	4.62885302021196e-40	sp|A2A7Z8|ADCL3_MOUSE Arylacetamide deacetylase-like 3 OS=Mus musculus OX=10090 GN=Aadacl3 PE=3 SV=1	NP_065843.4 neutral cholesterol ester hydrolase 1 isoform b [Homo sapiens]	gi|17737817|ref|NP_524261.1| alpha-Esterase-7 [Drosophila melanogaster]	XP_005106265.2 arylacetamide deacetylase [Aplysia californica]	XP_002734727.1 PREDICTED: neutral cholesterol ester hydrolase 1-like [Saccoglossus kowalevskii]	8
PladumEVm086471	-5.1130741722426	4.04674747730067	178.052916884792	1.28991197129842e-40	3.00454895767969e-37	.	.	.	.	.	2
PladumEVm057626	-3.80541798320071	4.77666507961327	176.71369052157	2.52924468765071e-40	5.52308000886425e-37	.	.	.	.	.	3
PladumEVm061353	-3.45258169527592	7.58683244255108	173.347941726069	1.37398900064253e-39	2.82387068784995e-36	.	.	.	.	.	2
PladumEVm074405	-6.95061399709549	1.61870319291848	173.134895889262	1.52935960088967e-39	2.96857194974912e-36	.	.	.	.	.	2
PladumEVm092092	-5.63804325512917	3.16696636643791	169.889253848284	7.82266255950744e-39	1.438505300877e-35	.	.	.	.	.	2
PladumEVm085757	-6.57633028235274	2.42268366379949	168.781804017517	1.36533151793792e-38	2.38516589526164e-35	.	.	.	.	.	2
PladumEVm046400	-2.9326162310493	7.15130239820622	168.310514837367	1.73052329107946e-38	2.8791787270012e-35	.	.	.	.	.	2
PladumEVm063002	-4.01446668717019	6.01674103048847	167.509535371912	2.58899851193459e-38	4.11168268220375e-35	.	.	.	.	.	2
PladumEVm089920	-3.56070390901825	3.4733442924252	160.425969592709	9.13229352410748e-37	1.38727479755996e-33	.	.	.	.	.	8
